originalTimestamp,category,messageId,anonymousId,name,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,button_name,location,userAgentData.brands,userAgentData.mobile,userAgentData.platform,search_text,traits,email,input_value,input_num,input_name,address,other_category,city,description,display_email,business_name,main_category,parish,phone,sub_category,website,event_type
2025-08-18 02:35:09.549000+00:00,,ajs-next-1755484509549-66a5c289-519b-4e8c-a8f2-73843e296d82,435e66a5-c289-419b-9e8c-68f273843e29,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1753374338412x209529915103450200, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400",true,,,,,,,,,,,,,,,,,,,,,,,impression
2025-08-18 05:22:25.762000+00:00,index,ajs-next-1755494545762-91a1b058-0971-4e57-bf1b-5b73a1c6ba15,a1b05809-71de-47ff-9b5b-73a1c6ba1524,index,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,,,,page
2025-08-18 05:23:21.768000+00:00,about_us,ajs-next-1755494601768-d5c18f09-241a-48ab-bb5a-bc885d0520db,a1b05809-71de-47ff-9b5b-73a1c6ba1524,about_us,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/about_us/1755494544211x110066895993911730,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1755494544211x110066895993911730,/about_us/1755494544211x110066895993911730,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1755494544211x110066895993911730,about_us,about_us,,,,,,,,,,,,,,,,,,,,,,,,,page
2025-08-18 05:22:25.864000+00:00,,ajs-next-1755494545864-580971de-57ff-4b5b-b3a1-c6ba15240db4,a1b05809-71de-47ff-9b5b-73a1c6ba1524,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1743549178851x847080663521240200",true,,,,,,,,,,,,,,,,,,,,,,,impression
2025-08-18 05:22:53.130000+00:00,how_it_works,ajs-next-1755494573130-c9902174-3e04-4c62-ba54-16a68cb657e0,a1b05809-71de-47ff-9b5b-73a1c6ba1524,how_it_works,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/how_it_works/1755494544211x110066895993911730,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1755494544211x110066895993911730,/how_it_works/1755494544211x110066895993911730,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1755494544211x110066895993911730,how_it_works,how_it_works,,,,,,,,,,,,,,,,,,,,,,,,,page
2025-08-18 05:22:26.066000+00:00,,ajs-next-1755494546066-71de57ff-1b5b-43a1-86ba-15240db44e74,a1b05809-71de-47ff-9b5b-73a1c6ba1524,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1743549178851x847080663521240200",true,,,,,,,,,,,,,,,,,,,,,,,impression
2025-08-18 11:51:31.370000+00:00,index,ajs-next-1755517891370-f5260be5-781c-440c-91bc-88cae5d6ad6f,15c6b34f-158b-4e2d-921e-eec2965b0488,index,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,,,,page
2025-08-18 11:51:32.448000+00:00,,ajs-next-1755517892448-781c740c-91bc-48ca-a5d6-ad6f76da46d8,15c6b34f-158b-4e2d-921e-eec2965b0488,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1743549178851x847080663521240200, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1753982403438x535213824960417500",true,,,,,,,,,,,,,,,,,,,,,,,impression
2025-08-18 11:51:32.022000+00:00,,ajs-next-1755517892022-0be5781c-740c-41bc-88ca-e5d6ad6f76da,15c6b34f-158b-4e2d-921e-eec2965b0488,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1743549178851x847080663521240200, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1753982403438x535213824960417500",true,,,,,,,,,,,,,,,,,,,,,,,impression
2025-08-18 12:23:44.184000+00:00,about_us,ajs-next-1755519824184-4ef4ae7d-24c2-4a01-8256-53d78d4ba427,a1b05809-71de-47ff-9b5b-73a1c6ba1524,about_us,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/about_us/1755494544211x110066895993911730,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1755494544211x110066895993911730,/about_us/1755494544211x110066895993911730,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1755494544211x110066895993911730,about_us,about_us,,,,,,,,,,,,,,,,,,,,,,,,,page
