name,originalTimestamp,category,userId,anonymousId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,location,button_name,city,search_text,parish,event_type
about_us,2025-12-29 09:41:06.362000+00:00,about_us,,37e4bef0-d3f8-4b18-a082-987f607f754a,ajs-next-1767001266362-1837e4be-f0d3-48ab-9860-82987f607f75,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1766381941096x117614571847199260,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1766381941096x117614571847199260,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/1766381941096x117614571847199260,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1766381941096x117614571847199260,about_us,about_us,,,,,,,,page
search,2025-12-29 16:57:46.187000+00:00,search,1746827109704x963221719337950200,fe9ede5f-0b62-48f5-8471-7deb6bbb3f83,ajs-next-1767027466187-3a089a80-06f8-4261-b0c8-d852f0392947,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/search,,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/search,,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,search,search,,,,,,,,page
,2025-12-29 16:57:49.010000+00:00,,1746827109704x963221719337950200,fe9ede5f-0b62-48f5-8471-7deb6bbb3f83,ajs-next-1767027469010-426130c8-d852-4039-a947-6c77aa1fd177,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/search,,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,,,,,"1765991015203x350068785849064760, 1766011883106x917993758751800300, 1758312173588x895819358343598700, 1757369121056x350487849823425600, 1761919898226x928695665795906700, 1746827109704x963221719337950200, 1750784029587x963255839088365200, 1760458225389x690604949380638100, 1763672237927x725969385673238800, 1746635677548x343522492232585660, 1764963280733x431041418968701760, 1750785338983x949958887494882000, 1761762406893x958878656538368500, 1753135741395x558904608479141570, 1744134674881x127285411168640110, 1753982403438x535213824960417500, 1744391553368x301043576290850300",false,,,,,,impression
,2025-12-29 16:57:47.010000+00:00,,1746827109704x963221719337950200,fe9ede5f-0b62-48f5-8471-7deb6bbb3f83,ajs-next-1767027467010-9a8006f8-4261-40c8-9852-f03929476c77,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/search,,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,,,,,,true,sidebar,,,,,impression
,2025-12-29 16:57:47.995000+00:00,,1746827109704x963221719337950200,fe9ede5f-0b62-48f5-8471-7deb6bbb3f83,ajs-next-1767027467995-06f84261-30c8-4852-b039-29476c77aa1f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/search,,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,,,,,1753982403438x535213824960417500,true,main_list,,,,,impression
about_us,2025-12-29 19:36:04.555000+00:00,about_us,,873ba0e4-f648-43b9-8296-2f9748c63607,ajs-next-1767036964555-93873ba0-e4f6-48d3-b942-962f9748c636,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1763126427242x366787888233460740,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1763126427242x366787888233460740,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/1763126427242x366787888233460740,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1763126427242x366787888233460740,about_us,about_us,,,,,,,,page
business_profile,2025-12-29 23:04:43.908000+00:00,profile,,c3171681-a0be-45ad-9ed1-d4c792c220cf,ajs-next-1767049483908-19c31716-81a0-4ed5-ad1e-d1d4c792c220,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Mobile/15E148 Safari/604.1",/business_profile/grants-handy-work-1747398900475x598159844147748100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/grants-handy-work-1747398900475x598159844147748100,,,,/business_profile/grants-handy-work-1747398900475x598159844147748100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/grants-handy-work-1747398900475x598159844147748100,profile,business_profile,1747398900475x598159844147748100,,,,,,,page
dashboard,2025-12-29 23:00:35.867000+00:00,dashboard,,c40e16b5-6823-40ed-a5f2-c2cbaad6019e,ajs-next-1767049235867-24c40e16-b568-4320-ade5-f2c2cbaad601,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",/dashboard,,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,,,,/dashboard,,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,dashboard,dashboard,1767049239772x753127504220960900,,,,,,,page
about_us,2025-12-30 02:48:02.836000+00:00,about_us,,7877cf5c-f6aa-43ea-b306-2be11c0f049e,ajs-next-1767062882836-427877cf-5cf6-4ad3-aaf3-062be11c0f04,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1763159230798x578134881740131000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1763159230798x578134881740131000,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/1763159230798x578134881740131000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1763159230798x578134881740131000,about_us,about_us,,,,,,,,page
how_it_works,2025-12-30 02:47:25.963000+00:00,how_it_works,,a3d54262-23c4-45e6-bb84-03a5957e1a77,ajs-next-1767062845963-cba3d542-6223-44d5-a67b-8403a5957e1a,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1765751311274x176353217549793950,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1765751311274x176353217549793950,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/1765751311274x176353217549793950,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1765751311274x176353217549793950,how_it_works,how_it_works,,,,,,,,page
