messageId,anonymousId,userId,originalTimestamp,category,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,sponsored_listing,button_name,location,event_type
ajs-next-1778770905297-d51740c0-9002-4277-8c8c-f8c0d4078a62,61e36f90-d517-40c0-9002-52774c8cf8c0,,2026-05-14 15:01:45.297000+00:00,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,,,"1753374338412x209529915103450200, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1771436045389x658317953644361100, 1770943484557x164806709481949200, 1751744301621x758526182685981300, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1744335958024x226211831616957250",,,true,,,impression
ajs-next-1778770886594-555a14c5-6182-45b3-9898-53e6be6410ee,d66297bd-555a-44c5-a182-95b3589853e6,,2026-05-14 15:01:26.594000+00:00,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 15_7_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,,,"1744335958024x226211831616957250, 1753374338412x209529915103450200, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1770943484557x164806709481949200, 1751744301621x758526182685981300, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1752717497153x537286585580736960",,,true,,,impression
ajs-next-1778770956814-9990c58f-8d2d-42c4-b8be-7c210ab20d75,90c58f8d-2dc2-44f8-be7c-210ab20d7507,,2026-05-14 15:02:36.814000+00:00,index,index,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.162 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,page
ajs-next-1778770957808-2dc2c4f8-be7c-410a-b20d-7507c21262a1,90c58f8d-2dc2-44f8-be7c-210ab20d7507,,2026-05-14 15:02:37.808000+00:00,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.162 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,,,"1744579851707x640487742075829500, 1750436264420x989591292213482400, 1771436045389x658317953644361100, 1744335958024x226211831616957250, 1751744301621x758526182685981300, 1753982403438x535213824960417500, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1753374338412x209529915103450200",,,true,,,impression
ajs-next-1778770886270-97bd555a-14c5-4182-95b3-589853e6be64,d66297bd-555a-44c5-a182-95b3589853e6,,2026-05-14 15:01:26.270000+00:00,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 15_7_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,,,"1744335958024x226211831616957250, 1753374338412x209529915103450200, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1770943484557x164806709481949200, 1751744301621x758526182685981300, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1752717497153x537286585580736960",,,true,,,impression
ajs-next-1778770956846-8f8d2dc2-c4f8-4e7c-a10a-b20d7507c212,90c58f8d-2dc2-44f8-be7c-210ab20d7507,,2026-05-14 15:02:36.846000+00:00,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.162 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,,,"1744579851707x640487742075829500, 1750436264420x989591292213482400, 1771436045389x658317953644361100, 1744335958024x226211831616957250, 1751744301621x758526182685981300, 1753982403438x535213824960417500, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1753374338412x209529915103450200",,,true,,,impression
ajs-next-1778770904978-4161e36f-90d5-4740-8090-0252774c8cf8,61e36f90-d517-40c0-9002-52774c8cf8c0,,2026-05-14 15:01:44.978000+00:00,index,index,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,page
ajs-next-1778770886237-4cd66297-bd55-4a14-8561-8295b3589853,d66297bd-555a-44c5-a182-95b3589853e6,,2026-05-14 15:01:26.237000+00:00,index,index,"Mozilla/5.0 (Macintosh; Intel Mac OS X 15_7_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,page
ajs-next-1778773680482-5b93eb66-27a6-4fb2-93ee-bf12864da83b,93eb6627-a63f-4293-aebf-12864da83b86,,2026-05-14 15:48:00.482000+00:00,about_us,about_us,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1778765948891x310514086227982040,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1778765948891x310514086227982040,[],False,,/about_us/1778765948891x310514086227982040,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1778765948891x310514086227982040,,about_us,about_us,,,,page
ajs-next-1778770904994-6f90d517-40c0-4002-9277-4c8cf8c0d407,61e36f90-d517-40c0-9002-52774c8cf8c0,,2026-05-14 15:01:44.994000+00:00,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,,,"1753374338412x209529915103450200, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1771436045389x658317953644361100, 1770943484557x164806709481949200, 1751744301621x758526182685981300, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1744335958024x226211831616957250",,,true,,,impression
