category,messageId,anonymousId,name,userId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,location,sponsored_listing,button_name,event_type
index,ajs-next-1788815408712-7b40c341-031d-4958-9b40-ebf0b1dc9878,40c34103-1d89-485b-80eb-f0b1dc98783a,index,,2026-09-07 21:10:08.712000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,page
,ajs-next-1788815408715-41031d89-585b-40eb-b0b1-dc98783a8d88,40c34103-1d89-485b-80eb-f0b1dc98783a,,,2026-09-07 21:10:08.715000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,,,,,,,,"1781830336957x808577548450478500, 1771436045389x658317953644361100, 1744643921578x315333816253624100, 1770943484557x164806709481949200",,true,,impression
,ajs-next-1788815491469-241efdd6-fa3d-447c-b360-1d923dfb744e,40c34103-1d89-485b-80eb-f0b1dc98783a,,,2026-09-07 21:11:31.469000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?category=health-wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=health-wellness,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,,,,,,,,"1753909381745x872991521395046100, 1749173974503x736079030141835600, 1761930377989x951815782791809400, 1746631267951x741803061642879500, 1776102250538x198432379819539760, 1771433486472x495156137805681660, 1745528732739x896561533370513300, 1747185390251x665604546429507900, 1746938798847x931997689495082400, 1777052217878x935579896985562900, 1772482882558x843076024552954900, 1778678470875x691076180629588500, 1744157592334x292550965261606100, 1762957766158x632118084948257900, 1747420152884x437771544876149700, 1747594874125x270237571814453630, 1782146204142x629417106351450200, 1764781838221x716772635359430500, 1764893879099x465248075524681500, 1744740154739x566945822952470660, 1763305551668x997299018011994600, 1749057953945x756346430245684600",,false,,impression
,ajs-next-1788815459590-4347b513-ffec-422f-bd1d-c0c8fed1b1f6,7a73f65b-1d4e-4547-914b-b26bb32c275e,,,2026-09-07 21:10:59.590000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,,,,,,,,"1781830336957x808577548450478500, 1744643921578x315333816253624100, 1771436045389x658317953644361100, 1770943484557x164806709481949200",,true,,impression
,ajs-next-1788815480922-9ed05f32-762b-457b-8a30-bd17241efdd6,40c34103-1d89-485b-80eb-f0b1dc98783a,,,2026-09-07 21:11:20.922000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?category=religious-goods-services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=religious-goods-services,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,,,,,,,,,sidebar,true,,impression
,ajs-next-1788815522336-3dfb744e-7821-4b93-93a5-b7bab27a2743,40c34103-1d89-485b-80eb-f0b1dc98783a,,,2026-09-07 21:12:02.336000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?category=health-wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=health-wellness,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,,,,,,,,,sidebar,true,,impression
search,ajs-next-1788815522026-1d923dfb-744e-4821-8b93-13a5b7bab27a,40c34103-1d89-485b-80eb-f0b1dc98783a,search,,2026-09-07 21:12:02.026000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?category=health-wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=health-wellness,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,/search,https://coloradocatholicbusinessdirectory.com/,?category=health-wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=health-wellness,search,search,,,,,page
how_it_works,ajs-next-1788815630333-a211ade9-a1be-4701-9ccc-c7230830bd72,7a73f65b-1d4e-4547-914b-b26bb32c275e,how_it_works,,2026-09-07 21:13:50.333000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/how_it_works/1788815402752x825258399249442700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1788815402752x825258399249442700,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,/how_it_works/1788815402752x825258399249442700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1788815402752x825258399249442700,how_it_works,how_it_works,,,,,page
index,ajs-next-1788815459091-76ab4347-b513-4fec-b22f-3d1dc0c8fed1,7a73f65b-1d4e-4547-914b-b26bb32c275e,index,,2026-09-07 21:10:59.091000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,page
how_it_works,ajs-next-1788815647338-51491726-1507-4ca3-8274-0e9a3866c4d0,7a73f65b-1d4e-4547-914b-b26bb32c275e,how_it_works,,2026-09-07 21:14:07.338000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/how_it_works/1788815402752x825258399249442700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1788815402752x825258399249442700,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,/how_it_works/1788815402752x825258399249442700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1788815402752x825258399249442700,how_it_works,how_it_works,,,,,page
