category,messageId,name,userId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,city,search_text,location,parish,business_id,sponsored_listing,button_name,userAgentData.brands,userAgentData.mobile,userAgentData.platform,event_type
,ajs-next-1764028997481-3878802a-4bf5-4a33-b526-052e526a2cb7,,,2025-11-25 00:03:17.481000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,,,,,,,,,main_list,,1753982403438x535213824960417500,true,,,,,impression
Finance,ajs-next-1764029035868-2a33f526-052e-426a-acb7-7746a9163013,,,2025-11-25 00:03:55.868000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,,,,,,,,,main_search,,,,,,,,search
,ajs-next-1764029043858-f526052e-526a-4cb7-b746-a91630133279,,,2025-11-25 00:04:03.858000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,,,,,,,,,,,1763672237927x725969385673238800,false,profile_arrow,,,,button_click
profile,ajs-next-1764034873446-b024ffce-dfb2-49cc-b833-b407f152e370,business_profile,,2025-11-25 01:41:13.445000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/business_profile/matthew-cain-with-wealthwave-1763672237927x725969385673238800,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/matthew-cain-with-wealthwave-1763672237927x725969385673238800,/business_profile/matthew-cain-with-wealthwave-1763672237927x725969385673238800,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/matthew-cain-with-wealthwave-1763672237927x725969385673238800,profile,business_profile,,,,,1763672237927x725969385673238800,,,,,,page
about_us,ajs-next-1764069029710-5a0cd1ee-b28c-4bbb-aef1-21819b0e0d9c,about_us,,2025-11-25 11:10:29.710000+00:00,0cd1eeb2-8c6b-4b2e-b121-819b0e0d9cf8,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1763225871412x360557854872314050,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1763225871412x360557854872314050,/about_us/1763225871412x360557854872314050,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1763225871412x360557854872314050,about_us,about_us,,,,,,,,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'HeadlessChrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,page
,ajs-next-1764087716909-6993d690-bc85-4a7a-bd10-9b769b9c3d8f,,,2025-11-25 16:21:56.909000+00:00,c8e7ff54-c125-45cb-a65b-c2b3b8abd51f,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,,,,,,,,,sidebar,,,true,,,,,impression
,ajs-next-1764087717833-3d8fdd90-3df6-41ba-9339-4cee42186f3b,,,2025-11-25 16:21:57.833000+00:00,c8e7ff54-c125-45cb-a65b-c2b3b8abd51f,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,,,,,,,,,,,"1749173974503x736079030141835600, 1746938798847x931997689495082400, 1753909381745x872991521395046100, 1747420152884x437771544876149700, 1746631267951x741803061642879500, 1761930377989x951815782791809400, 1746765568691x979794717919274100, 1751224250248x539537516841198200, 1749057953945x756346430245684600, 1747185390251x665604546429507900, 1761762460002x434978052003146300, 1747415704843x665338483592092500, 1744157592334x292550965261606100, 1745528732739x896561533370513300, 1744740154739x566945822952470660, 1762957766158x632118084948257900",false,,,,,impression
,ajs-next-1764087717173-d690bc85-da7a-4d10-9b76-9b9c3d8fdd90,,,2025-11-25 16:21:57.173000+00:00,c8e7ff54-c125-45cb-a65b-c2b3b8abd51f,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,,,,,,,,,main_list,,,true,,,,,impression
,ajs-next-1764087717520-9b769b9c-3d8f-4d90-bdf6-51ba13394cee,,,2025-11-25 16:21:57.520000+00:00,c8e7ff54-c125-45cb-a65b-c2b3b8abd51f,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,,,,,,,,,main_list,,,true,,,,,impression
,ajs-next-1764087717489-bd109b76-9b9c-4d8f-9d90-3df651ba1339,,,2025-11-25 16:21:57.489000+00:00,c8e7ff54-c125-45cb-a65b-c2b3b8abd51f,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,,,,,,,,,,,"1749173974503x736079030141835600, 1746938798847x931997689495082400, 1753909381745x872991521395046100, 1747420152884x437771544876149700, 1746631267951x741803061642879500, 1761930377989x951815782791809400, 1746765568691x979794717919274100, 1751224250248x539537516841198200, 1749057953945x756346430245684600, 1747185390251x665604546429507900, 1761762460002x434978052003146300, 1747415704843x665338483592092500, 1744157592334x292550965261606100, 1745528732739x896561533370513300, 1744740154739x566945822952470660, 1762957766158x632118084948257900",false,,,,,impression
,ajs-next-1764087717215-bc85da7a-bd10-4b76-9b9c-3d8fdd903df6,,,2025-11-25 16:21:57.215000+00:00,c8e7ff54-c125-45cb-a65b-c2b3b8abd51f,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,,,,,,,,,sidebar,,,true,,,,,impression
