category,name,originalTimestamp,messageId,userId,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,business_id,location,sponsored_listing,button_name,search_text,city,parish,userAgentData.brands,userAgentData.mobile,userAgentData.platform,event_type
Home Services,,2026-02-16 00:55:23.231000+00:00,ajs-next-1771203323231-bb50d5d1-0bbd-4425-9cf4-568d6730c192,,d7f35b56-7451-4b44-9ee3-829cdace0461,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C71 Instagram 416.1.0.27.68 (iPhone14,5; iOS 26_2_1; en_US; en; scale=3.00; 1170x2532; IABMV/1; 881475720) Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Tree%20removal&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Tree%20removal&category=Home%20Services,,,,,,,,,main_search,,,Tree removal,,Holy Name - Steamboat Springs,,,,search
,,2026-02-16 00:55:33.671000+00:00,ajs-next-1771203333671-57b05cb2-5951-4d0b-aa58-604db7a8d7a4,,d7f35b56-7451-4b44-9ee3-829cdace0461,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C71 Instagram 416.1.0.27.68 (iPhone14,5; iOS 26_2_1; en_US; en; scale=3.00; 1170x2532; IABMV/1; 881475720) Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,,,,,,,,,main_search,,,,,Holy Name - Steamboat Springs,,,,search
,,2026-02-16 00:55:32.853000+00:00,ajs-next-1771203332853-568d6730-c192-47b0-9cb2-59510d0bea58,,d7f35b56-7451-4b44-9ee3-829cdace0461,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C71 Instagram 416.1.0.27.68 (iPhone14,5; iOS 26_2_1; en_US; en; scale=3.00; 1170x2532; IABMV/1; 881475720) Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,,,,,,,,1744335958024x226211831616957250,main_list,true,,,,,,,,impression
,,2026-02-16 00:55:31.618000+00:00,ajs-next-1771203331618-d5d10bbd-f425-4cf4-968d-6730c19257b0,,d7f35b56-7451-4b44-9ee3-829cdace0461,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C71 Instagram 416.1.0.27.68 (iPhone14,5; iOS 26_2_1; en_US; en; scale=3.00; 1170x2532; IABMV/1; 881475720) Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Tree%20removal&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Tree%20removal&category=Home%20Services,,,,,,,,,,,search,,,,,,,button_click
,,2026-02-16 00:55:31.927000+00:00,ajs-next-1771203331927-0bbdf425-9cf4-468d-a730-c19257b05cb2,,d7f35b56-7451-4b44-9ee3-829cdace0461,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C71 Instagram 416.1.0.27.68 (iPhone14,5; iOS 26_2_1; en_US; en; scale=3.00; 1170x2532; IABMV/1; 881475720) Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Tree%20removal&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Tree%20removal&category=Home%20Services,,,,,,,,,main_search,,,,,Holy Name - Steamboat Springs,,,,search
search,search,2026-02-16 00:54:38.083000+00:00,ajs-next-1771203278083-f40a6189-6946-45da-982e-bb50d5d10bbd,,d7f35b56-7451-4b44-9ee3-829cdace0461,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C71 Instagram 416.1.0.27.68 (iPhone14,5; iOS 26_2_1; en_US; en; scale=3.00; 1170x2532; IABMV/1; 881475720) Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Tree%20removal&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Tree%20removal&category=Home%20Services,/search,https://coloradocatholicbusinessdirectory.com/,?query=Tree%20removal&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Tree%20removal&category=Home%20Services,search,search,,,,,,,,,,,page
,,2026-02-16 00:54:36.192000+00:00,ajs-next-1771203276192-1b449ee3-829c-4ace-8461-9d1e80991a5a,,d7f35b56-7451-4b44-9ee3-829cdace0461,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C71 Instagram 416.1.0.27.68 (iPhone14,5; iOS 26_2_1; en_US; en; scale=3.00; 1170x2532; IABMV/1; 881475720) Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,search,,,,,,,button_click
,,2026-02-16 00:55:32.550000+00:00,ajs-next-1771203332550-9cf4568d-6730-4192-97b0-5cb259510d0b,,d7f35b56-7451-4b44-9ee3-829cdace0461,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C71 Instagram 416.1.0.27.68 (iPhone14,5; iOS 26_2_1; en_US; en; scale=3.00; 1170x2532; IABMV/1; 881475720) Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,,,,,,,,,sidebar,true,,,,,,,,impression
,,2026-02-16 00:55:33.167000+00:00,ajs-next-1771203333167-6730c192-57b0-4cb2-9951-0d0bea58604d,,d7f35b56-7451-4b44-9ee3-829cdace0461,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C71 Instagram 416.1.0.27.68 (iPhone14,5; iOS 26_2_1; en_US; en; scale=3.00; 1170x2532; IABMV/1; 881475720) Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,,,,,,,,"1768426055630x579798080961828200, 1744751205492x235134337285239230, 1763408145585x201322720695875870, 1752182630575x854371423894944000, 1769719058268x843927058977011000, 1745533127765x291393362647413700, 1758312173588x895819358343598700, 1744175271939x575064790204550460, 1747594874125x270237571814453630, 1747848709032x210920410073364830, 1765399408996x262641226191956400, 1759930025997x126109694575208930, 1744282156200x727555159743162000, 1746548006831x128230088489826860, 1770943484557x164806709481949200, 1761044854709x307607562836745150, 1768238584049x399775147114029200, 1750783674403x491887953737125700, 1744748222708x779656090283929300, 1746631267951x741803061642879500, 1746467711533x453074785848415400, 1747165674437x491901038958021200, 1749742920378x965836759111504900, 1764893879099x465248075524681500, 1764963280733x431041418968701760, 1763569204895x378265538177280400, 1757355028996x505189727810192200, 1744907031541x119079844893356540, 1757438153395x416809556103947500, 1752687366861x422755081931784260, 1750785338983x949958887494882000, 1768427614253x929508274229176300, 1763509156539x144450665564595840, 1750784475796x702583457937545900, 1754941249648x796792188496967000, 1764711530894x480989914892320700, 1765001972595x338020444395840100, 1747420152884x437771544876149700, 1746855895334x711816173120128000, 1754949567759x639105313824555300, 1770755356265x111382421474427680, 1747864432460x772931238395911000, 1751402056748x637551618886434600, 1747415704843x665338483592092500, 1747398900475x598159844147748100, 1753374338412x209529915103450200, 1755533063776x956164571796881400, 1753982403438x535213824960417500, 1766011883106x917993758751800300, 1748389292320x918627677903932400, 1758568877707x715638242996164100, 1748365021326x105262688542451250, 1747221865162x703532834449508000, 1768581853937x610498789092930300, 1746635677548x343522492232585660, 1747216018889x770977089491677400, 1744398484109x785674167096991400, 1745597587022x519433479989605000, 1761930377989x951815782791809400, 1755621956288x571897163769246900, 1744391553368x301043576290850300, 1754084205128x675147807630683600, 1758147388607x898014240790697700, 1749173974503x736079030141835600, 1744260813114x505427712482621440, 1755271286521x378031808974615550, 1751749348389x952656707958261400, 1764781838221x716772635359430500, 1754081360962x724252535884739300, 1770152894907x464897480736850900, 1745273541628x945470626229355500, 1749057953945x756346430245684600, 1747184079669x994211808429350800, 1762957766158x632118084948257900, 1749068120323x412920063824988600, 1759423986281x805514757919405700, 1754505203290x671062062407191900, 1757437593796x460281345015416640, 1758120880051x675194275556497400, 1764342295066x618134664283571500, 1753909381745x872991521395046100, 1747170561218x640297169073643000, 1759153763139x433792388290277000, 1744397288473x909294892772270800, 1744579851707x640487742075829500, 1765991015203x350068785849064760, 1744319857648x144922844539837200, 1757369121056x350487849823425600, 1751744301621x758526182685981300, 1750783679107x801419812763124500, 1763305551668x997299018011994600, 1747163465846x476237095610093000, 1746843461447x686795565273950000, 1760118921086x941497076227920600, 1771003581692x955050931630977700, 1751319669665x621437589169731200, 1744743906400x631087870982087000, 1753911193017x504194995643152640, 1747185390251x665604546429507900, 1746765568691x979794717919274100, 1744740154739x566945822952470660, 1749580724532x760028975589297300, 1763672237927x725969385673238800, 1757720364741x595714121363069200, 1771021914207x198452557005754900, 1753985929691x853149258569598100, 1747183179554x540122160625888100, 1763148950401x545361905340972600, 1762364811793x796217509980630800, 1744737250347x219277345743008400, 1763255155587x707008769292458900, 1747827548541x313848517899538500, 1746827109704x963221719337950200, 1751224250248x539537516841198200, 1754927931120x470668069008822300, 1745528732739x896561533370513300, 1766070455303x639821695383855700, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1768584016102x834619843946063900, 1744643921578x315333816253624100, 1743547621069x279645472884266780, 1769635123521x385801932800474700, 1746938798847x931997689495082400, 1744157592334x292550965261606100, 1760458225389x690604949380638100, 1753465897836x101289632151690960, 1751425811600x127124815802215140, 1744335958024x226211831616957250, 1748581534531x956271769254002200, 1750784029587x963255839088365200, 1744134674881x127285411168640110, 1761762460002x434978052003146300, 1754624056001x759184470890143000, 1744736810207x919925185055488400, 1761762406893x958878656538368500, 1762271200864x775090106640580500, 1744760380914x558772773612561600, 1768844277981x664142917381285000, 1750436264420x989591292213482400, 1762889659042x996969350831174300, 1753135741395x558904608479141570, 1750423781412x480534435350699700, 1761919898226x928695665795906700",,false,,,,,,,,impression
start,start,2026-02-16 02:42:11.192000+00:00,ajs-next-1771209731192-6251af93-eb12-44b1-9e67-20f090a4f09c,,51af93eb-12e4-41de-a720-f090a4f09c58,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,,,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,page
