category,userId,messageId,name,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,location,sponsored_listing,button_name,search_text,event_type
,,ajs-next-1769288913479-d05abf8d-7c82-4179-ad25-24d31565d032,,2026-01-24 21:08:33.479000+00:00,a056c577-74aa-4d73-8390-d2833d685eae,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/143.0.3650.139 Version/26.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,,"1759153763139x433792388290277000, 1763148950401x545361905340972600, 1755621956288x571897163769246900, 1747864432460x772931238395911000, 1744579851707x640487742075829500, 1763408145585x201322720695875870, 1768581853937x610498789092930300, 1754505203290x671062062407191900, 1747398900475x598159844147748100, 1759423986281x805514757919405700, 1746855895334x711816173120128000, 1763255155587x707008769292458900, 1744751205492x235134337285239230, 1744748222708x779656090283929300, 1745273541628x945470626229355500, 1754927931120x470668069008822300, 1744335958024x226211831616957250, 1749742920378x965836759111504900, 1755533063776x956164571796881400, 1747216018889x770977089491677400, 1759930025997x126109694575208930, 1753911193017x504194995643152640, 1750783674403x491887953737125700, 1751319669665x621437589169731200, 1744398484109x785674167096991400",,,,false,,,impression
,,ajs-next-1769289104700-f5ce4c79-afdf-4b49-99cb-320ef1c7cce5,,2026-01-24 21:11:44.700000+00:00,a056c577-74aa-4d73-8390-d2833d685eae,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/143.0.3650.139 Version/26.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,,1744579851707x640487742075829500,,,main_list,true,,,impression
search,,ajs-next-1769289095311-81833c33-bff3-42d3-ad9b-dd46dcb54b85,search,2026-01-24 21:11:35.311000+00:00,a056c577-74aa-4d73-8390-d2833d685eae,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/143.0.3650.139 Version/26.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,search,search,,,,,page
profile,,ajs-next-1769289096646-76da44af-2d45-418c-8657-1fab38fe3607,business_profile,2026-01-24 21:11:36.646000+00:00,a056c577-74aa-4d73-8390-d2833d685eae,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/143.0.3650.139 Version/26.0 Mobile/15E148 Safari/604.1",/business_profile/mfm-electrical-services--1763148950401x545361905340972600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mfm-electrical-services--1763148950401x545361905340972600,,,,/business_profile/mfm-electrical-services--1763148950401x545361905340972600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mfm-electrical-services--1763148950401x545361905340972600,1763148950401x545361905340972600,profile,business_profile,,,,,page
,,ajs-next-1769288893675-c57774aa-3d73-4390-9283-3d685eaee03d,,2026-01-24 21:08:13.675000+00:00,a056c577-74aa-4d73-8390-d2833d685eae,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/143.0.3650.139 Version/26.0 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,"1750436264420x989591292213482400, 1744579851707x640487742075829500, 1743549178851x847080663521240200, 1753982403438x535213824960417500, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1753374338412x209529915103450200",,,,true,,,impression
,,ajs-next-1769288909431-3d738390-d283-4d68-9eae-e03d7b82db90,,2026-01-24 21:08:29.431000+00:00,a056c577-74aa-4d73-8390-d2833d685eae,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/143.0.3650.139 Version/26.0 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,,search,,button_click
search,,ajs-next-1769288912568-275e3a7d-c63e-405a-bf8d-7c82f179ad25,search,2026-01-24 21:08:32.568000+00:00,a056c577-74aa-4d73-8390-d2833d685eae,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/143.0.3650.139 Version/26.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,search,search,,,,,page
profile,,ajs-next-1769288933244-ef07a8e6-c417-4270-8889-e8d15095be99,business_profile,2026-01-24 21:08:53.244000+00:00,a056c577-74aa-4d73-8390-d2833d685eae,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/143.0.3650.139 Version/26.0 Mobile/15E148 Safari/604.1",/business_profile/mfm-electrical-services--1763148950401x545361905340972600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mfm-electrical-services--1763148950401x545361905340972600,,,,/business_profile/mfm-electrical-services--1763148950401x545361905340972600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mfm-electrical-services--1763148950401x545361905340972600,1763148950401x545361905340972600,profile,business_profile,,,,,page
search,,ajs-next-1769289104092-29e41025-f5ce-4c79-afdf-fb4919cb320e,search,2026-01-24 21:11:44.092000+00:00,a056c577-74aa-4d73-8390-d2833d685eae,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/143.0.3650.139 Version/26.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,search,search,,,,,page
,,ajs-next-1769289096233-c2d32d9b-dd46-4cb5-8b85-2cd2a5bb4b96,,2026-01-24 21:11:36.233000+00:00,a056c577-74aa-4d73-8390-d2833d685eae,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/143.0.3650.139 Version/26.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,,"1749742920378x965836759111504900, 1755533063776x956164571796881400, 1754505203290x671062062407191900, 1750783674403x491887953737125700, 1744335958024x226211831616957250, 1753911193017x504194995643152640, 1759153763139x433792388290277000, 1763255155587x707008769292458900, 1759423986281x805514757919405700, 1768581853937x610498789092930300, 1745273541628x945470626229355500, 1747216018889x770977089491677400, 1755621956288x571897163769246900, 1747398900475x598159844147748100, 1747864432460x772931238395911000, 1763148950401x545361905340972600, 1759930025997x126109694575208930, 1744748222708x779656090283929300, 1744398484109x785674167096991400, 1763408145585x201322720695875870, 1744751205492x235134337285239230, 1751319669665x621437589169731200, 1744579851707x640487742075829500, 1754927931120x470668069008822300, 1746855895334x711816173120128000",,,,false,,,impression
