category,name,userId,originalTimestamp,anonymousId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,button_name,city,search_text,location,parish,event_type
,,,2025-10-27 17:53:42.337000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761587622337-c75cf509-3fe1-4aca-b488-5b87c6e03cb5,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Solomon&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Solomon&category=,,,,,,,,,,,"1748389292320x918627677903932400, 1750436264420x989591292213482400",false,,,,,,impression
,,,2025-10-27 17:53:41.726000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761587621726-6cec310b-c75c-4509-bfe1-8acab4885b87,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Solomon&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Solomon&category=,,,,,,,,,,,,true,,,,sidebar,,impression
profile,business_profile,,2025-10-27 18:32:15.997000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761589935997-2ba06dcf-cb19-4bde-9936-e964ba3c54c0,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/business_profile/wild-goose-music-1750436264420x989591292213482400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,,,,/business_profile/wild-goose-music-1750436264420x989591292213482400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,profile,business_profile,1750436264420x989591292213482400,,,,,,,page
,,,2025-10-27 17:53:26.079000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761587606079-fe461fe6-90c9-4f6a-ab4a-60d245da77ab,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,,,Solomon,,,search
Home Services,,,2025-10-27 18:36:06.422000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761590166422-59d84d01-597e-47f2-b579-ed4d3e852524,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,,,,,,search
,,,2025-10-27 17:53:28.970000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761587608970-31127c39-4d60-4f78-9c37-f2e59679d55e,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Solomon&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Solomon&category=,,,,,,,,,,,"1748389292320x918627677903932400, 1750436264420x989591292213482400",false,,,,,,impression
,,,2025-10-27 17:53:49.895000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761587629895-c6e03cb5-df97-488f-8b22-c2d683737540,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Guitar&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Guitar&category=,,,,,,,,,,,1750436264420x989591292213482400,false,,,,,,impression
,,,2025-10-27 17:53:25.773000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761587605773-7a5cfe46-1fe6-40c9-af6a-ab4a60d245da,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,search,,,,,button_click
,,,2025-10-27 17:53:42.030000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761587622030-310bc75c-f509-4fe1-8aca-b4885b87c6e0,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Solomon&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Solomon&category=,,,,,,,,,,,1743547621069x279645472884266780,true,,,,main_list,,impression
index,index,,2025-10-27 18:35:51.468000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761590151468-948a06e9-0808-49d8-8d01-597ea7f27579,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,page
