category,messageId,userId,originalTimestamp,anonymousId,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,business_id,category_properties,name_properties,sponsored_listing,userAgentData.brands,userAgentData.mobile,userAgentData.platform,button_name,location,search_text,email,traits,city,parish,event_type
,ajs-next-1774842878606-0d2723e5-424b-4b0d-91c3-8addfd40b297,,2026-03-30 03:54:38.606000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1744579851707x640487742075829500, 1743547621069x279645472884266780, 1770943484557x164806709481949200, 1753374338412x209529915103450200, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1771436045389x658317953644361100, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1753982403438x535213824960417500",,,true,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,,,,,,,impression
,ajs-next-1774842722303-bdafa4f2-a878-4821-b3f0-f912f40bd1cd,,2026-03-30 03:52:02.303000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Colorado%20Springs%20&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Colorado%20Springs%20&category=,,,,,,1752717497153x537286585580736960,,,true,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,main_list,,,,,,impression
index,ajs-next-1774842805468-40edd43d-ddd3-43af-889a-6a03022ee0ea,,2026-03-30 03:53:25.468000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,index,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,,,,,,,page
,ajs-next-1774842705495-3a974e26-0a5f-454d-952b-ad7c9b6ccfa5,,2026-03-30 03:51:45.495000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1771436045389x658317953644361100, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1753374338412x209529915103450200, 1770943484557x164806709481949200, 1743547621069x279645472884266780, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1744579851707x640487742075829500",,,true,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,,,,,,,impression
,ajs-next-1774842827149-ddd353af-c89a-4a03-822e-e0ead38ecf63,,2026-03-30 03:53:47.149000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,logo,navbar,,,,,,button_click
,ajs-next-1774842705497-4e260a5f-054d-452b-ad7c-9b6ccfa52223,,2026-03-30 03:51:45.497000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1771436045389x658317953644361100, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1753374338412x209529915103450200, 1770943484557x164806709481949200, 1743547621069x279645472884266780, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1744579851707x640487742075829500",,,true,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,,,,,,,impression
,ajs-next-1774842798406-74c8719d-8081-4b7c-af3e-53106d4d5fa9,,2026-03-30 03:53:18.406000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Colorado%20Springs%20&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Colorado%20Springs%20&category=,,,,,,,,,true,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,sidebar,,,,,,impression
search,ajs-next-1774842798101-95ec74c8-719d-4081-9b7c-af3e53106d4d,,2026-03-30 03:53:18.101000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,search,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Colorado%20Springs%20&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Colorado%20Springs%20&category=,/search,https://coloradocatholicbusinessdirectory.com/,?query=Colorado%20Springs%20&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Colorado%20Springs%20&category=,,search,search,,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,,,,,,,page
,ajs-next-1774842798713-719d8081-db7c-4f3e-9310-6d4d5fa9f31b,,2026-03-30 03:53:18.713000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Colorado%20Springs%20&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Colorado%20Springs%20&category=,,,,,,1743549178851x847080663521240200,,,true,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,main_list,,,,,,impression
index,ajs-next-1774842929499-f879f036-c199-4863-b5a2-49d631155bda,,2026-03-30 03:55:29.499000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,index,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,,,,,,,page
,ajs-next-1774883715400-106e8d50-ac22-4969-9d9f-5f6ad1ae80c1,,2026-03-30 15:15:15.400000+00:00,550ab7bf-df31-4052-a456-c93c9d5e79ad,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1753982403438x535213824960417500, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1744579851707x640487742075829500, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1771436045389x658317953644361100, 1743547621069x279645472884266780",,,true,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,,,,,,,,impression
index,ajs-next-1774883715042-349f0a41-106e-4d50-ac22-e9691d9f5f6a,,2026-03-30 15:15:15.042000+00:00,550ab7bf-df31-4052-a456-c93c9d5e79ad,index,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,,,,,,,,page
,ajs-next-1774883715397-0a41106e-8d50-4c22-a969-1d9f5f6ad1ae,,2026-03-30 15:15:15.397000+00:00,550ab7bf-df31-4052-a456-c93c9d5e79ad,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1753982403438x535213824960417500, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1744579851707x640487742075829500, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1771436045389x658317953644361100, 1743547621069x279645472884266780",,,true,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,,,,,,,,impression
