userId,messageId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,name,category,path,referrer,search,title,url,category_properties,name_properties,location,city,search_text,parish,button_name,event_type
,ajs-next-1781414279733-3e51b27a-2f0a-46cf-b04c-0ca2c57c16fe,2026-06-14 05:17:59.733000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/business_profile/matt-mathias-homes-1759930025997x126109694575208930,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/matt-mathias-homes-1759930025997x126109694575208930,,,,1759930025997x126109694575208930,,business_profile,profile,/business_profile/matt-mathias-homes-1759930025997x126109694575208930,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/matt-mathias-homes-1759930025997x126109694575208930,profile,business_profile,,,,,,page
,ajs-next-1781414264813-7cb926a0-e045-446f-9785-b3bfa8757812,2026-06-14 05:17:44.813000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,1750436264420x989591292213482400,false,,,,,,,,,,,,,,more_info_text,button_click
,ajs-next-1781414350461-197c40b8-02ea-48d9-aea0-59a1a7c05c23,2026-06-14 05:19:10.461000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,1763408145585x201322720695875870,false,,,,,,,,,,,,,,profile_arrow,button_click
,ajs-next-1781414259010-d77f7cb9-26a0-4045-946f-9785b3bfa875,2026-06-14 05:17:39.010000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,"1777042863057x294476376362385400, 1776552489781x780158200693874000, 1744751205492x235134337285239230, 1749742920378x965836759111504900, 1750436264420x989591292213482400, 1755621956288x571897163769246900, 1747864432460x772931238395911000, 1763255155587x707008769292458900, 1744748222708x779656090283929300, 1768581853937x610498789092930300, 1759153763139x433792388290277000, 1744335958024x226211831616957250, 1753911193017x504194995643152640, 1763148950401x545361905340972600, 1744398484109x785674167096991400, 1747216018889x770977089491677400, 1763408145585x201322720695875870, 1747398900475x598159844147748100, 1754927931120x470668069008822300, 1775058462201x523059865418210800, 1755533063776x956164571796881400, 1751319669665x621437589169731200, 1759930025997x126109694575208930, 1754505203290x671062062407191900, 1744579851707x640487742075829500, 1746855895334x711816173120128000, 1745273541628x945470626229355500, 1759423986281x805514757919405700, 1750783674403x491887953737125700, 1770943484557x164806709481949200",false,,,,,,,,,,,,,,,impression
,ajs-next-1781414258701-f743d77f-7cb9-46a0-a045-146f9785b3bf,2026-06-14 05:17:38.701000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,1744579851707x640487742075829500,true,,,,,,,,,,main_list,,,,,impression
,ajs-next-1781414391790-69850a64-1bd9-4974-840f-8c3e24d7eee7,2026-06-14 05:19:51.790000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,1744335958024x226211831616957250,true,,,,,,,,,,main_list,,,,,impression
,ajs-next-1781414325944-0bf37345-197c-40b8-82ea-d8d92ea059a1,2026-06-14 05:18:45.944000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,1744579851707x640487742075829500,true,,,,,,,,,,main_list,,,,,impression
,ajs-next-1781414272474-4f41bc70-bdba-4f14-8c6d-33690e0f5e2c,2026-06-14 05:17:52.474000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,"1754927931120x470668069008822300, 1746855895334x711816173120128000, 1750436264420x989591292213482400, 1754505203290x671062062407191900, 1759153763139x433792388290277000, 1744751205492x235134337285239230, 1744398484109x785674167096991400, 1763255155587x707008769292458900, 1770943484557x164806709481949200, 1747398900475x598159844147748100, 1759930025997x126109694575208930, 1776552489781x780158200693874000, 1759423986281x805514757919405700, 1744335958024x226211831616957250, 1768581853937x610498789092930300, 1747216018889x770977089491677400, 1755621956288x571897163769246900, 1744748222708x779656090283929300, 1753911193017x504194995643152640, 1751319669665x621437589169731200, 1763148950401x545361905340972600, 1747864432460x772931238395911000, 1750783674403x491887953737125700, 1744579851707x640487742075829500, 1749742920378x965836759111504900, 1775058462201x523059865418210800, 1777042863057x294476376362385400, 1745273541628x945470626229355500, 1763408145585x201322720695875870, 1755533063776x956164571796881400",false,,,,,,,,,,,,,,,impression
,ajs-next-1781414326255-7345197c-40b8-42ea-98d9-2ea059a1a7c0,2026-06-14 05:18:46.255000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,"1754505203290x671062062407191900, 1763255155587x707008769292458900, 1776552489781x780158200693874000, 1744748222708x779656090283929300, 1777042863057x294476376362385400, 1744751205492x235134337285239230, 1751319669665x621437589169731200, 1747864432460x772931238395911000, 1770943484557x164806709481949200, 1759153763139x433792388290277000, 1747216018889x770977089491677400, 1753911193017x504194995643152640, 1749742920378x965836759111504900, 1745273541628x945470626229355500, 1746855895334x711816173120128000, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1747398900475x598159844147748100, 1744398484109x785674167096991400, 1750783674403x491887953737125700, 1759423986281x805514757919405700, 1759930025997x126109694575208930, 1768581853937x610498789092930300, 1744579851707x640487742075829500, 1755533063776x956164571796881400, 1775058462201x523059865418210800, 1763408145585x201322720695875870, 1755621956288x571897163769246900, 1763148950401x545361905340972600, 1754927931120x470668069008822300",false,,,,,,,,,,,,,,,impression
,ajs-next-1781482012637-f1a2e90f-e975-4ccf-a6aa-d5972ece5ed3,2026-06-15 00:06:52.637000+00:00,342df1a2-e90f-4975-9ccf-26aad5972ece,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/136.0.0.0 Safari/537.36",/search,,?category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=Other,[],False,,,true,,,,,,,,,,sidebar,,,,,impression
,ajs-next-1781501345959-16cc8cf4-b30f-4c10-b19d-fd6a38e92ee9,2026-06-15 05:29:05.959000+00:00,cc8cf4b3-0f4c-40f1-9dfd-6a38e92ee96f,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/136.0.0.0 Safari/537.36",/business_profile/matthew-cain-with-wealthwave-1763672237927x725969385673238800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/matthew-cain-with-wealthwave-1763672237927x725969385673238800,[],False,,1763672237927x725969385673238800,,business_profile,profile,/business_profile/matthew-cain-with-wealthwave-1763672237927x725969385673238800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/matthew-cain-with-wealthwave-1763672237927x725969385673238800,profile,business_profile,,,,,,page
