anonymousId,messageId,category,name,userId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,business_id,location,sponsored_listing,button_name,userAgentData.brands,userAgentData.mobile,userAgentData.platform,search_text,city,parish,event_type
66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765155542120-97c9c330-4748-47c4-b166-c8e8d5cd72f2,,,,2025-12-08 00:59:02.120000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1743547621069x279645472884266780, 1753374338412x209529915103450200, 1744579851707x640487742075829500, 1743549178851x847080663521240200, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1752717497153x537286585580736960",,true,,,,,,,,impression
66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765155485761-797eced6-5b57-4a27-b9cd-d5a7530bb314,profile,business_profile,,2025-12-08 00:58:05.761000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/business_profile/serve-business-consulting-llc-1744397288473x909294892772270800,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/serve-business-consulting-llc-1744397288473x909294892772270800,/business_profile/serve-business-consulting-llc-1744397288473x909294892772270800,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/serve-business-consulting-llc-1744397288473x909294892772270800,profile,business_profile,1744397288473x909294892772270800,,,,,,,,,,page
66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765155540449-9b0633ba-ed3d-4a17-b592-04190c3b62e6,,,,2025-12-08 00:59:00.449000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,1753374338412x209529915103450200,main_list,true,,,,,,,,impression
66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765155567416-197ab50e-5af5-478a-8551-07db4df94da9,profile,business_profile,,2025-12-08 00:59:27.416000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/business_profile/clara-rose-creative-1754949567759x639105313824555300,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/clara-rose-creative-1754949567759x639105313824555300,/business_profile/clara-rose-creative-1754949567759x639105313824555300,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/clara-rose-creative-1754949567759x639105313824555300,profile,business_profile,1754949567759x639105313824555300,,,,,,,,,,page
66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765155447514-1a851a82-11cb-4ffd-a0df-c323fb948d03,,,,2025-12-08 00:57:27.514000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1750436264420x989591292213482400, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1743549178851x847080663521240200",,true,,,,,,,,impression
66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765155592984-1da60d7c-586b-4f78-b552-305c994d139f,,,,2025-12-08 00:59:52.984000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,,,,,,,,1750436264420x989591292213482400,main_list,true,,,,,,,,impression
66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765155458912-65d7fa06-f9aa-4119-91cf-7e026393cc13,,,,2025-12-08 00:57:38.912000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,sidebar,true,,,,,,,,impression
66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765155550327-7529861e-dc57-4c52-9463-22c9c86bbf77,search,search,,2025-12-08 00:59:10.327000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,search,search,,,,,,,,,,,page
66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765155550936-dc576c52-1463-42c9-886b-bf77c2ca5e4a,,,,2025-12-08 00:59:10.936000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,,,,,,,,1750436264420x989591292213482400,main_list,true,,,,,,,,impression
66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765155447809-1a8211cb-effd-40df-8323-fb948d0388b3,,,,2025-12-08 00:57:27.809000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1750436264420x989591292213482400, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1743549178851x847080663521240200",,true,,,,,,,,impression
