originalTimestamp,messageId,anonymousId,userId,category,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,path,referrer,search,title,url,category_properties,name_properties,button_name,location,search_text,traits,event_type
2026-02-27 06:32:10.977000+00:00,ajs-next-1772173930977-196fdad7-88c4-459f-8839-3c4026ca2dc6,6fdad788-c475-4f08-b93c-4026ca2dc66e,,profile,business_profile,"Mozilla/5.0 (Linux; Android 11; moto g power (2022)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,"[{'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",True,Android,1748365021326x105262688542451250,,/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,profile,business_profile,,,,,page
2026-02-27 07:23:47.347000+00:00,ajs-next-1772177027347-38a58b04-cdd6-46ed-ac47-d8bbdc8680fc,a58b04cd-d666-4dac-87d8-bbdc8680fc83,,about_us,about_us,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/aspire-building-services-1768844277981x664142917381285000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/aspire-building-services-1768844277981x664142917381285000,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'HeadlessChrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,,,/about_us/aspire-building-services-1768844277981x664142917381285000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/aspire-building-services-1768844277981x664142917381285000,about_us,about_us,,,,,page
2026-02-27 09:36:49.719000+00:00,ajs-next-1772185009719-28e39aed-1528-4270-9957-fd67bfb83f23,e39aed15-28d2-40d9-97fd-67bfb83f231c,,terms,terms_of_service,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/terms_of_service/matt-mansfield---remax-professionals-1744398484109x785674167096991400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/matt-mansfield---remax-professionals-1744398484109x785674167096991400,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'HeadlessChrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,,,/terms_of_service/matt-mansfield---remax-professionals-1744398484109x785674167096991400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/matt-mansfield---remax-professionals-1744398484109x785674167096991400,terms,terms_of_service,,,,,page
2026-02-27 09:59:30.746000+00:00,ajs-next-1772186370746-2f768356-8369-4099-9aaf-057505b51b0f,76835683-6910-499a-af05-7505b51b0feb,,terms,terms_of_service,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/terms_of_service/blanchard-financial-services-new-york-life-1768584016102x834619843946063900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/blanchard-financial-services-new-york-life-1768584016102x834619843946063900,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'HeadlessChrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,,,/terms_of_service/blanchard-financial-services-new-york-life-1768584016102x834619843946063900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/blanchard-financial-services-new-york-life-1768584016102x834619843946063900,terms,terms_of_service,,,,,page
2026-02-27 12:04:57.945000+00:00,ajs-next-1772193897945-7262bfb9-7769-4797-be4a-108bdcbaa4c6,23095d36-c5a3-4386-8080-82a99caf828a,,profile,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/paolucci-financial-services-1771436045389x658317953644361100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/paolucci-financial-services-1771436045389x658317953644361100,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,1771436045389x658317953644361100,,/business_profile/paolucci-financial-services-1771436045389x658317953644361100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/paolucci-financial-services-1771436045389x658317953644361100,profile,business_profile,,,,,page
2026-02-27 12:04:53.894000+00:00,ajs-next-1772193893894-7d23095d-36c5-4353-86c0-8082a99caf82,23095d36-c5a3-4386-8080-82a99caf828a,,profile,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,1743547621069x279645472884266780,,/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,profile,business_profile,,,,,page
2026-02-27 16:47:20.869000+00:00,ajs-next-1772210840870-bf5c7871-5369-443f-8760-e9b0d8cee143,5c787153-6924-4f87-a0e9-b0d8cee14337,,profile,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,1752717497153x537286585580736960,,/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,profile,business_profile,,,,,page
2026-02-27 17:27:20.154000+00:00,ajs-next-1772213240154-940b8587-b295-49c4-9a56-7eb11a3f0b2b,798c940b-8587-4295-b9c4-5a567eb11a3f,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,macOS,"1752717497153x537286585580736960, 1771436045389x658317953644361100, 1750436264420x989591292213482400, 1770943484557x164806709481949200, 1743547621069x279645472884266780, 1743549178851x847080663521240200, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1753982403438x535213824960417500",true,,,,,,,,,,,,impression
2026-02-27 17:33:02.562000+00:00,ajs-next-1772213582562-cd7a4265-45fc-48d4-840d-00f07511c1a0,798c940b-8587-4295-b9c4-5a567eb11a3f,,profile,business_profile,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/business_profile/grants-handy-work-1747398900475x598159844147748100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/grants-handy-work-1747398900475x598159844147748100,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,macOS,1747398900475x598159844147748100,,/business_profile/grants-handy-work-1747398900475x598159844147748100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/grants-handy-work-1747398900475x598159844147748100,profile,business_profile,,,,,page
2026-02-27 17:33:33.244000+00:00,ajs-next-1772213613244-8b63c887-2262-4aaa-aa4f-3c7eb1cd3b98,798c940b-8587-4295-b9c4-5a567eb11a3f,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,macOS,"1768581853937x610498789092930300, 1744398484109x785674167096991400, 1744748222708x779656090283929300, 1754505203290x671062062407191900, 1747216018889x770977089491677400, 1749742920378x965836759111504900, 1750783674403x491887953737125700, 1763255155587x707008769292458900, 1744335958024x226211831616957250, 1754927931120x470668069008822300, 1763408145585x201322720695875870, 1744579851707x640487742075829500, 1759930025997x126109694575208930, 1770943484557x164806709481949200, 1747864432460x772931238395911000, 1751319669665x621437589169731200, 1763148950401x545361905340972600, 1759153763139x433792388290277000, 1744751205492x235134337285239230, 1747398900475x598159844147748100, 1753911193017x504194995643152640, 1755621956288x571897163769246900, 1755533063776x956164571796881400, 1746855895334x711816173120128000, 1759423986281x805514757919405700, 1745273541628x945470626229355500",false,,,,,,,,,,,,impression
2026-02-27 16:47:50.172000+00:00,ajs-next-1772210870172-23d13535-b523-4ed0-9e64-d8341eeb1afa,5c787153-6924-4f87-a0e9-b0d8cee14337,,start,start,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,,,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,page
