category,name,userId,originalTimestamp,anonymousId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,business_id,category_properties,name_properties,userAgentData.brands,userAgentData.mobile,userAgentData.platform,sponsored_listing,button_name,city,search_text,location,parish,event_type
,,,2026-03-12 15:16:58.740000+00:00,30190ff1-6b6d-44d2-9d0b-ffaabf82456c,ajs-next-1773328618740-0ff16b6d-64d2-4d0b-bfaa-bf82456c71bb,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.162 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1770943484557x164806709481949200, 1743549178851x847080663521240200, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1743547621069x279645472884266780, 1752717497153x537286585580736960, 1771436045389x658317953644361100",,,"[{'brand': 'Chromium', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}]",False,Windows,true,,,,,,impression
,,,2026-03-12 15:18:03.858000+00:00,5a696a85-1624-4538-92cd-3fa84ec94057,ajs-next-1773328683858-16243538-12cd-4fa8-8ec9-4057706b584c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.175 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1743547621069x279645472884266780, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1770943484557x164806709481949200, 1771436045389x658317953644361100, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1750436264420x989591292213482400",,,"[{'brand': 'Chromium', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}]",False,Windows,true,,,,,,impression
,,,2026-03-12 15:18:40.003000+00:00,672312cf-46ce-4cd4-b9f9-b680c6153528,ajs-next-1773328720003-46cebcd4-b9f9-4680-8615-3528317d7c50,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.7390.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1744335958024x226211831616957250, 1753374338412x209529915103450200, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1771436045389x658317953644361100, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1743549178851x847080663521240200",,,"[{'brand': 'Chromium', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}]",False,Windows,true,,,,,,impression
,,,2026-03-12 15:15:37.910000+00:00,85abe8d3-8097-4e25-930d-2b4c590ce810,ajs-next-1773328537910-e8d38097-7e25-430d-ab4c-590ce8100c61,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.175 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1753982403438x535213824960417500, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1743547621069x279645472884266780, 1744579851707x640487742075829500, 1770943484557x164806709481949200, 1743549178851x847080663521240200, 1771436045389x658317953644361100, 1753374338412x209529915103450200, 1750436264420x989591292213482400",,,"[{'brand': 'Chromium', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}]",False,Windows,true,,,,,,impression
,,,2026-03-12 15:15:38.500000+00:00,85abe8d3-8097-4e25-930d-2b4c590ce810,ajs-next-1773328538500-80977e25-930d-4b4c-990c-e8100c61d4e7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.175 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1753982403438x535213824960417500, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1743547621069x279645472884266780, 1744579851707x640487742075829500, 1770943484557x164806709481949200, 1743549178851x847080663521240200, 1771436045389x658317953644361100, 1753374338412x209529915103450200, 1750436264420x989591292213482400",,,"[{'brand': 'Chromium', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}]",False,Windows,true,,,,,,impression
index,index,,2026-03-12 15:20:26.258000+00:00,1ca766e5-9aa7-42f8-86cd-c072efbd8872,ajs-next-1773328826258-031ca766-e59a-4762-b8c6-cdc072efbd88,"Mozilla/5.0 (Macintosh; Intel Mac OS X 15_7_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,"[{'brand': 'Chromium', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}]",False,Windows,,,,,,,page
profile,business_profile,,2026-03-12 15:24:06.020000+00:00,d58ebd5e-21c1-405d-89df-967ea97dc168,ajs-next-1773329046020-9a8cb0e2-1b89-47f1-bbd8-48580087ac38,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,1753374338412x209529915103450200,profile,business_profile,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,,,,,,,page
,,,2026-03-12 15:15:42.379000+00:00,137f5270-26b9-4b3b-b080-c58b1f9241a5,ajs-next-1773328542379-26b99b3b-7080-458b-9f92-41a5f0bd10ce,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.175 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1753982403438x535213824960417500, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1743547621069x279645472884266780, 1753374338412x209529915103450200, 1743549178851x847080663521240200, 1770943484557x164806709481949200, 1750436264420x989591292213482400, 1744335958024x226211831616957250",,,"[{'brand': 'Chromium', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}]",False,Windows,true,,,,,,impression
,,,2026-03-12 15:15:54.072000+00:00,94905c05-2b23-4fa3-9052-39de2e1b21d2,ajs-next-1773328554072-5c052b23-2fa3-4052-b9de-2e1b21d2b03b,"Mozilla/5.0 (Macintosh; Intel Mac OS X 15_7_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1744579851707x640487742075829500, 1771436045389x658317953644361100, 1753374338412x209529915103450200, 1750436264420x989591292213482400, 1743549178851x847080663521240200, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1753982403438x535213824960417500",,,"[{'brand': 'Chromium', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}]",False,Windows,true,,,,,,impression
,,,2026-03-12 15:18:12.274000+00:00,4c4a6a5f-4da4-47ce-9d9d-c2b854491107,ajs-next-1773328692274-6a5f4da4-27ce-4d9d-82b8-5449110782e9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.162 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1770943484557x164806709481949200, 1743549178851x847080663521240200, 1743547621069x279645472884266780, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1771436045389x658317953644361100, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1753374338412x209529915103450200",,,"[{'brand': 'Chromium', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}]",False,Windows,true,,,,,,impression
