originalTimestamp,anonymousId,messageId,name,category,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,sponsored_listing,location,search_text,button_name,city,parish,event_type
2026-01-20 22:20:11.225000+00:00,0186ad1f-6ff7-4fd1-959a-30554421ec61,ajs-next-1768947611225-cd6637a4-26b9-4a12-87cb-167f651e2610,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,,,"1745273541628x945470626229355500, 1747398900475x598159844147748100, 1753911193017x504194995643152640, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1754505203290x671062062407191900, 1750783674403x491887953737125700, 1759930025997x126109694575208930, 1751319669665x621437589169731200, 1755621956288x571897163769246900, 1749742920378x965836759111504900, 1747864432460x772931238395911000, 1744398484109x785674167096991400, 1768581853937x610498789092930300, 1744751205492x235134337285239230, 1759423986281x805514757919405700, 1755533063776x956164571796881400, 1763255155587x707008769292458900, 1759153763139x433792388290277000, 1747216018889x770977089491677400, 1763408145585x201322720695875870, 1754927931120x470668069008822300, 1746855895334x711816173120128000, 1744748222708x779656090283929300, 1763148950401x545361905340972600",,,false,,,,,,impression
2026-01-20 22:21:20.016000+00:00,0186ad1f-6ff7-4fd1-959a-30554421ec61,ajs-next-1768947680016-37a426b9-ea12-47cb-967f-651e2610fa1a,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,,,,,,,,,search,,,button_click
2026-01-20 22:21:45.426000+00:00,0186ad1f-6ff7-4fd1-959a-30554421ec61,ajs-next-1768947705426-265cba7b-03aa-4cdf-99b6-b9c1528b9f78,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Construction&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Construction&category=Other,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,,,,,,true,sidebar,,,,,impression
2026-01-20 22:19:59.778000+00:00,0186ad1f-6ff7-4fd1-959a-30554421ec61,ajs-next-1768947599779-370186ad-1f6f-472f-9115-9a30554421ec,index,index,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/,https://www.google.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/,https://www.google.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,,page
2026-01-20 22:21:21.278000+00:00,0186ad1f-6ff7-4fd1-959a-30554421ec61,ajs-next-1768947681278-167f651e-2610-4a1a-80e3-265cba7b03aa,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Construction&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Construction&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,,,1744579851707x640487742075829500,,,true,main_list,,,,,impression
2026-01-20 22:19:59.784000+00:00,0186ad1f-6ff7-4fd1-959a-30554421ec61,ajs-next-1768947599784-ad1f6ff7-2fd1-459a-b055-4421ec61e8ab,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/,https://www.google.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,,,"1743547621069x279645472884266780, 1753374338412x209529915103450200, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1743549178851x847080663521240200",,,true,,,,,,impression
2026-01-20 22:57:06.194000+00:00,2bf07f9f-4f40-4495-9dfe-af3cf64ab4ab,ajs-next-1768949826194-a4959dfe-af3c-464a-b4ab-8f6db6e1cd81,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,macOS,,,,,,,,,,,,search,,,button_click
2026-01-20 22:20:01.567000+00:00,0186ad1f-6ff7-4fd1-959a-30554421ec61,ajs-next-1768947601567-6ff72fd1-159a-4055-8421-ec61e8abf9ca,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/,https://www.google.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,,,"1743547621069x279645472884266780, 1753374338412x209529915103450200, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1743549178851x847080663521240200",,,true,,,,,,impression
2026-01-20 22:20:10.921000+00:00,0186ad1f-6ff7-4fd1-959a-30554421ec61,ajs-next-1768947610921-2230cd66-37a4-46b9-aa12-c7cb167f651e,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,,,1744579851707x640487742075829500,,,true,main_list,,,,,impression
2026-01-20 22:59:35.506000+00:00,2bf07f9f-4f40-4495-9dfe-af3cf64ab4ab,ajs-next-1768949975506-bbe45433-e163-4805-b000-d19c81b9798f,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,macOS,,,,,,1755621956288x571897163769246900,,,false,,,more_info_text_map,,,button_click
