messageId,userId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,name,category,path,referrer,search,title,url,category_properties,name_properties,location,button_name,search_text,city,parish,properties,traits,input_value,input_num,input_name,event_type
ajs-next-1768956071320-3eecce75-6251-4f46-80ad-0f512ead27aa,1760118921086x941497076227920600,2026-01-21 00:41:11.320000+00:00,c35c9d20-cb4e-4b41-b819-080fc7022f79,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=Hererra&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Hererra&category=,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Microsoft Edge', 'version': '144'}]",False,Windows,,,,,,,,,,,,main_search,,aaron,,,,,,,,search
ajs-next-1768956072553-80ad0f51-2ead-47aa-be6a-74b570044e2e,1760118921086x941497076227920600,2026-01-21 00:41:12.553000+00:00,c35c9d20-cb4e-4b41-b819-080fc7022f79,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=aaron&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=aaron&category=,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Microsoft Edge', 'version': '144'}]",False,Windows,,false,,,,,,,,,,,,,,,,,,,,impression
ajs-next-1768956799941-6fe7f708-658b-4b3f-9aee-994d867917e2,1760118921086x941497076227920600,2026-01-21 00:53:19.941000+00:00,c35c9d20-cb4e-4b41-b819-080fc7022f79,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=herrera&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=herrera&category=,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Microsoft Edge', 'version': '144'}]",False,Windows,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=herrera&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=herrera&category=,search,search,,,,,,,,,,,page
ajs-next-1768957130869-34ddd0c0-77b3-4164-8073-ee5a15c86a5b,1760118921086x941497076227920600,2026-01-21 00:58:50.869000+00:00,c35c9d20-cb4e-4b41-b819-080fc7022f79,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=herrera&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=herrera&category=,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Microsoft Edge', 'version': '144'}]",False,Windows,1750436264420x989591292213482400,true,,,,,,,,,,main_list,,,,,,,,,,impression
ajs-next-1768957129550-155e2eb0-b748-49e6-aea8-53f60d23f88a,1760118921086x941497076227920600,2026-01-21 00:58:49.550000+00:00,c35c9d20-cb4e-4b41-b819-080fc7022f79,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=herrera&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=herrera&category=,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Microsoft Edge', 'version': '144'}]",False,Windows,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=herrera&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=herrera&category=,search,search,,,,,,,,,,,page
ajs-next-1768956072247-af4680ad-0f51-4ead-a7aa-7e6a74b57004,1760118921086x941497076227920600,2026-01-21 00:41:12.247000+00:00,c35c9d20-cb4e-4b41-b819-080fc7022f79,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=aaron&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=aaron&category=,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Microsoft Edge', 'version': '144'}]",False,Windows,1750436264420x989591292213482400,true,,,,,,,,,,main_list,,,,,,,,,,impression
ajs-next-1768956138706-830b292b-ccef-48d1-81bb-38dabdb51c85,1760118921086x941497076227920600,2026-01-21 00:42:18.706000+00:00,c35c9d20-cb4e-4b41-b819-080fc7022f79,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Microsoft Edge', 'version': '144'}]",False,Windows,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,search,search,,,,,,,,,,,page
ajs-next-1768956798080-72d957d3-67f8-4329-afe7-f708658b9b3f,1760118921086x941497076227920600,2026-01-21 00:53:18.080000+00:00,c35c9d20-cb4e-4b41-b819-080fc7022f79,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=herrera&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=herrera&category=Finance,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Microsoft Edge', 'version': '144'}]",False,Windows,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=herrera&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=herrera&category=Finance,search,search,,,,,,,,,,,page
ajs-next-1768956812566-867917e2-8cac-4cb3-90b2-3927448758c5,1760118921086x941497076227920600,2026-01-21 00:53:32.566000+00:00,c35c9d20-cb4e-4b41-b819-080fc7022f79,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=mortgage&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=mortgage&category=,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Microsoft Edge', 'version': '144'}]",False,Windows,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=mortgage&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=mortgage&category=,search,search,,,,,,,,,,,page
ajs-next-1768956086848-7e6a74b5-7004-4e2e-924d-830b292bccef,1760118921086x941497076227920600,2026-01-21 00:41:26.848000+00:00,c35c9d20-cb4e-4b41-b819-080fc7022f79,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Microsoft Edge', 'version': '144'}]",False,Windows,,true,,,,,,,,,,sidebar,,,,,,,,,,impression
