originalTimestamp,userId,anonymousId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,location,sponsored_listing,name,category,path,referrer,search,title,url,category_properties,name_properties,button_name,search_text,city,parish,event_type
2026-03-09 19:13:00.463000+00:00,,83b48071-583e-4733-9b14-36d80d27bb9b,ajs-next-1773083580463-1782c7cd-13f0-47dd-8fb2-e6fc64a814a7,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,1753374338412x209529915103450200,,,business_profile,profile,/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,profile,business_profile,,,,,page
2026-03-09 19:12:55.151000+00:00,,83b48071-583e-4733-9b14-36d80d27bb9b,ajs-next-1773083575151-7183b480-7158-4eb7-b35b-1436d80d27bb,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/slider-artworks-1744335958024x226211831616957250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,1744335958024x226211831616957250,,,business_profile,profile,/business_profile/slider-artworks-1744335958024x226211831616957250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,profile,business_profile,,,,,page
2026-03-09 19:13:25.920000+00:00,,83b48071-583e-4733-9b14-36d80d27bb9b,ajs-next-1773083605920-52379d00-5f1d-46b5-9118-d53703163822,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,start,start,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,page
2026-03-09 22:14:59.556000+00:00,,6ff999fe-ee0d-4227-876a-b075ed8dfb03,ajs-next-1773094499556-ee0da227-076a-4075-ad8d-fb0373d0bb14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}]",False,Windows,"1743547621069x279645472884266780, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1770943484557x164806709481949200",,true,,,,,,,,,,,,,,impression
2026-03-09 22:14:59.249000+00:00,,6ff999fe-ee0d-4227-876a-b075ed8dfb03,ajs-next-1773094499249-99feee0d-a227-476a-b075-ed8dfb0373d0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}]",False,Windows,"1743547621069x279645472884266780, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1770943484557x164806709481949200",,true,,,,,,,,,,,,,,impression
2026-03-09 22:14:59.240000+00:00,,6ff999fe-ee0d-4227-876a-b075ed8dfb03,ajs-next-1773094499240-d46ff999-feee-4da2-a707-6ab075ed8dfb,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}]",False,Windows,,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,page
2026-03-09 22:56:04.499000+00:00,,a2d38749-b6c3-4d6c-92d1-6c52ded95766,ajs-next-1773096964499-c1c4c985-68f3-4a64-af5b-6216c4693da1,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,start,start,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,page
2026-03-09 22:55:24.512000+00:00,,a2d38749-b6c3-4d6c-92d1-6c52ded95766,ajs-next-1773096924512-15a2d387-49b6-439d-ac12-d16c52ded957,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,1770943484557x164806709481949200,,,business_profile,profile,/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,profile,business_profile,,,,,page
2026-03-09 22:55:28.505000+00:00,,a2d38749-b6c3-4d6c-92d1-6c52ded95766,ajs-next-1773096928505-3548bcd0-b5fb-45b1-8b97-f8d0d2080fe7,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/paolucci-financial-services-1771436045389x658317953644361100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/paolucci-financial-services-1771436045389x658317953644361100,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,1771436045389x658317953644361100,,,business_profile,profile,/business_profile/paolucci-financial-services-1771436045389x658317953644361100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/paolucci-financial-services-1771436045389x658317953644361100,profile,business_profile,,,,,page
2026-03-09 22:55:34.479000+00:00,,a2d38749-b6c3-4d6c-92d1-6c52ded95766,ajs-next-1773096934479-62ca5235-3977-4aba-9493-880a4738988d,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,1743549178851x847080663521240200,,,business_profile,profile,/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,profile,business_profile,,,,,page
