anonymousId,category,messageId,userId,originalTimestamp,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,button_name,business_id,location,sponsored_listing,city,search_text,parish,userAgentData.brands,userAgentData.mobile,userAgentData.platform,event_type
faf2f935-9e30-49db-baa7-70689632ffb5,,ajs-next-1780168553480-d5befa57-1e2e-42cf-bd99-c079a1cd23fc,,2026-05-30 19:15:53.480000+00:00,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=cleaning&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=cleaning&category=,,,,,,,,,"1754084205128x675147807630683600, 1757437593796x460281345015416640, 1754505203290x671062062407191900, 1776552489781x780158200693874000, 1754081360962x724252535884739300, 1755621956288x571897163769246900, 1744748222708x779656090283929300",,false,,,,,,,impression
6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,index,ajs-next-1780167343126-4610d3a3-3a8b-4b37-9747-63d1d5adfe61,,2026-05-30 18:55:43.126000+00:00,index,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,page
6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,,ajs-next-1780167379285-dd73dd5e-05c7-41da-93e4-fa60a7d1cca1,,2026-05-30 18:56:19.285000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Cleaning&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Cleaning&category=,,,,,,,,profile_arrow,1755621956288x571897163769246900,,false,,,,,,,button_click
6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,,ajs-next-1780167354482-8343bf94-dd73-4d5e-85c7-41da93e4fa60,,2026-05-30 18:55:54.482000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Cleaning&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Cleaning&category=,,,,,,,,,1753374338412x209529915103450200,main_list,true,,,,,,,impression
faf2f935-9e30-49db-baa7-70689632ffb5,search,ajs-next-1780168554037-fa571e2e-12cf-4d99-8079-a1cd23fc0328,,2026-05-30 19:15:54.037000+00:00,search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=maid&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=maid&category=,/search,https://coloradocatholicbusinessdirectory.com/,?query=maid&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=maid&category=,search,search,,,,,,,,,,,page
6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,,ajs-next-1780167343130-d3a33a8b-cb37-4747-a3d1-d5adfe613268,,2026-05-30 18:55:43.130000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,"1753982403438x535213824960417500, 1770943484557x164806709481949200, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1750436264420x989591292213482400, 1753374338412x209529915103450200",,true,,,,,,,impression
6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,,ajs-next-1780167458124-763d89d7-33bf-4cae-a86f-2fa7ca0c24df,,2026-05-30 18:57:38.124000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,sidebar,true,,,,,,,impression
6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,,ajs-next-1780167343800-3a8bcb37-5747-43d1-95ad-fe613268f2dd,,2026-05-30 18:55:43.800000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,"1753982403438x535213824960417500, 1770943484557x164806709481949200, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1750436264420x989591292213482400, 1753374338412x209529915103450200",,true,,,,,,,impression
faf2f935-9e30-49db-baa7-70689632ffb5,,ajs-next-1780168517058-9e3059db-baa7-4068-9632-ffb502aec701,,2026-05-30 19:15:17.058000+00:00,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,"1771436045389x658317953644361100, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1744579851707x640487742075829500, 1770943484557x164806709481949200, 1753982403438x535213824960417500, 1752717497153x537286585580736960",,true,,,,,,,impression
6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,search,ajs-next-1780167353825-0334f3a9-8343-4f94-9d73-dd5e05c741da,,2026-05-30 18:55:53.825000+00:00,search,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Cleaning&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Cleaning&category=,/search,https://coloradocatholicbusinessdirectory.com/,?query=Cleaning&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Cleaning&category=,search,search,,,,,,,,,,,page
