anonymousId,userId,originalTimestamp,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,category,name,path,referrer,search,title,url,category_properties,name_properties,button_name,location,search_text,city,parish,event_type
7ab3d64e-e001-427a-8430-709462498454,,2026-03-23 16:07:41.562000+00:00,ajs-next-1774282061562-fb7ab3d6-4ee0-41d2-bac4-307094624984,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
7ab3d64e-e001-427a-8430-709462498454,,2026-03-23 16:08:01.775000+00:00,ajs-next-1774282081775-e001d27a-c430-4094-a249-845421c81bc8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,,,,,,,,,,,,search,,,,,button_click
7ab3d64e-e001-427a-8430-709462498454,,2026-03-23 16:08:05.684000+00:00,ajs-next-1774282085684-6bcd1aba-9be4-43d5-8914-7c0ef161bc20,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,,true,,,,,,,,,,,sidebar,,,,impression
7ab3d64e-e001-427a-8430-709462498454,,2026-03-23 16:08:05.370000+00:00,ajs-next-1774282085370-a31f6bcd-1aba-4be4-83d5-89147c0ef161,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,search,search,,,,,,page
7ab3d64e-e001-427a-8430-709462498454,,2026-03-23 16:07:42.121000+00:00,ajs-next-1774282062121-d64ee001-d27a-4430-b094-6249845421c8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,"1743547621069x279645472884266780, 1770943484557x164806709481949200, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1743549178851x847080663521240200, 1752717497153x537286585580736960",true,,,,,,,,,,,,,,,impression
7ab3d64e-e001-427a-8430-709462498454,,2026-03-23 16:08:05.989000+00:00,ajs-next-1774282085989-1aba9be4-c3d5-4914-bc0e-f161bc207bde,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,1743547621069x279645472884266780,true,,,,,,,,,,,main_list,,,,impression
7ab3d64e-e001-427a-8430-709462498454,,2026-03-23 16:08:02.089000+00:00,ajs-next-1774282082089-d27ac430-7094-4249-8454-21c81bc89183,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,,,Marketing/B2B,,,,,,,,,,,,,,search
7ab3d64e-e001-427a-8430-709462498454,,2026-03-23 16:08:06.302000+00:00,ajs-next-1774282086302-9be4c3d5-8914-4c0e-b161-bc207bde682b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,"1744643921578x315333816253624100, 1757438153395x416809556103947500, 1754081360962x724252535884739300, 1768426055630x579798080961828200, 1752717497153x537286585580736960, 1765399408996x262641226191956400, 1753374338412x209529915103450200, 1754084205128x675147807630683600, 1744397288473x909294892772270800, 1743547621069x279645472884266780, 1757437593796x460281345015416640",false,,,,,,,,,,,,,,,impression
b61d67f3-c874-4c36-94a4-bfd12ebcab2f,,2026-03-23 16:24:25.508000+00:00,ajs-next-1774283065508-c4b61d67-f3c8-44bc-b694-a4bfd12ebcab,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",/dashboard,,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,,,,1774283076333x402069313757050560,,dashboard,dashboard,/dashboard,,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,dashboard,dashboard,,,,,,page
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,2026-03-23 17:45:20.895000+00:00,ajs-next-1774287920895-67b7eb9b-f5c1-4047-80f6-1ef1c685bb62,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,"1743547621069x279645472884266780, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1770943484557x164806709481949200, 1771436045389x658317953644361100, 1744579851707x640487742075829500, 1752717497153x537286585580736960, 1753982403438x535213824960417500",true,,,,,,,,,,,,,,,impression
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,2026-03-23 17:45:39.356000+00:00,ajs-next-1774287939356-45c82e67-10db-48e9-b5a3-8099162a8ec0,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,true,,,,,,,,,,,sidebar,,,,impression
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,2026-03-23 17:45:38.851000+00:00,ajs-next-1774287938851-087545c8-2e67-40db-98e9-f5a38099162a,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,search,search,,,,,,page
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,2026-03-23 17:46:30.129000+00:00,ajs-next-1774287990129-cb0562a7-8901-4a6b-a913-435d04e31aaf,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,,,"1757369121056x350487849823425600, 1753982403438x535213824960417500, 1768584016102x834619843946063900, 1746635677548x343522492232585660, 1760458225389x690604949380638100, 1761919898226x928695665795906700, 1758312173588x895819358343598700, 1744134674881x127285411168640110, 1761762406893x958878656538368500, 1771003581692x955050931630977700, 1750784029587x963255839088365200, 1753135741395x558904608479141570, 1766011883106x917993758751800300, 1770152894907x464897480736850900, 1746827109704x963221719337950200, 1763672237927x725969385673238800, 1765991015203x350068785849064760, 1771436045389x658317953644361100, 1744391553368x301043576290850300, 1764963280733x431041418968701760, 1750785338983x949958887494882000",false,,,,,,,,,,,,,,,impression
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,2026-03-23 17:45:34.079000+00:00,ajs-next-1774287934079-eb9bf5c1-e047-40f6-9ef1-c685bb62b675,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,,,search,,,,,button_click
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,2026-03-23 17:45:40.796000+00:00,ajs-next-1774287940796-8099162a-8ec0-4da2-bd54-5e10cb0562a7,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,"1751319669665x621437589169731200, 1749742920378x965836759111504900, 1747398900475x598159844147748100, 1753911193017x504194995643152640, 1759423986281x805514757919405700, 1745273541628x945470626229355500, 1744751205492x235134337285239230, 1754505203290x671062062407191900, 1768581853937x610498789092930300, 1747864432460x772931238395911000, 1746855895334x711816173120128000, 1763408145585x201322720695875870, 1763255155587x707008769292458900, 1744398484109x785674167096991400, 1750783674403x491887953737125700, 1747216018889x770977089491677400, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1754927931120x470668069008822300, 1759930025997x126109694575208930, 1770943484557x164806709481949200, 1744748222708x779656090283929300, 1759153763139x433792388290277000, 1755621956288x571897163769246900, 1763148950401x545361905340972600, 1755533063776x956164571796881400",false,,,,,,,,,,,,,,,impression
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,2026-03-23 17:45:39.458000+00:00,ajs-next-1774287939458-2e6710db-58e9-45a3-8099-162a8ec0bda2,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,true,,,,,,,,,,,sidebar,,,,impression
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,2026-03-23 17:48:13.694000+00:00,ajs-next-1774288093694-0251c1e3-af89-4a55-9b50-0cf9609cbf1b,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,,,,"1764893879099x465248075524681500, 1763509156539x144450665564595840, 1758147388607x898014240790697700, 1744398484109x785674167096991400, 1747827548541x313848517899538500, 1763408145585x201322720695875870, 1763305551668x997299018011994600, 1743547621069x279645472884266780, 1760458225389x690604949380638100, 1758312173588x895819358343598700, 1744751205492x235134337285239230, 1746635677548x343522492232585660, 1752717497153x537286585580736960, 1746548006831x128230088489826860, 1762271200864x775090106640580500, 1745273541628x945470626229355500, 1761044854709x307607562836745150, 1770943484557x164806709481949200, 1751402056748x637551618886434600, 1747415704843x665338483592092500, 1772982809798x739419868972941400, 1744260813114x505427712482621440, 1771538218470x758525499484679000, 1753135741395x558904608479141570, 1744740154739x566945822952470660, 1747594874125x270237571814453630, 1745528732739x896561533370513300, 1771433486472x495156137805681660, 1754941249648x796792188496967000, 1768426055630x579798080961828200, 1764711530894x480989914892320700, 1744748222708x779656090283929300, 1746843461447x686795565273950000, 1758568877707x715638242996164100, 1763672237927x725969385673238800, 1753985929691x853149258569598100, 1760118921086x941497076227920600, 1748581534531x956271769254002200, 1770152894907x464897480736850900, 1757720364741x595714121363069200, 1762957766158x632118084948257900, 1771545376609x752763268373144000, 1747221865162x703532834449508000, 1768238584049x399775147114029200, 1750784475796x702583457937545900, 1744282156200x727555159743162000, 1757369121056x350487849823425600, 1747848709032x210920410073364830, 1757438153395x416809556103947500, 1770755356265x111382421474427680, 1749173974503x736079030141835600, 1764781838221x716772635359430500, 1771003581692x955050931630977700, 1744157592334x292550965261606100, 1749057953945x756346430245684600, 1772482882558x843076024552954900, 1743549178851x847080663521240200, 1751425811600x127124815802215140, 1749742920378x965836759111504900, 1771021914207x198452557005754900, 1765001972595x338020444395840100, 1745533127765x291393362647413700, 1748365021326x105262688542451250, 1759423986281x805514757919405700, 1744391553368x301043576290850300, 1750783674403x491887953737125700, 1746938798847x931997689495082400, 1746467711533x453074785848415400, 1754927931120x470668069008822300, 1747398900475x598159844147748100, 1766011883106x917993758751800300, 1762364811793x796217509980630800, 1755533063776x956164571796881400, 1750783679107x801419812763124500, 1749068120323x412920063824988600, 1746631267951x741803061642879500, 1769635123521x385801932800474700, 1751749348389x952656707958261400, 1753911193017x504194995643152640, 1744760380914x558772773612561600, 1765991015203x350068785849064760, 1761919898226x928695665795906700, 1747170561218x640297169073643000, 1754624056001x759184470890143000, 1744175271939x575064790204550460, 1750785338983x949958887494882000, 1753909381745x872991521395046100, 1744643921578x315333816253624100, 1744907031541x119079844893356540, 1746855895334x711816173120128000, 1766070455303x639821695383855700, 1754505203290x671062062407191900, 1758120880051x675194275556497400, 1746765568691x979794717919274100, 1769719058268x843927058977011000, 1747184079669x994211808429350800, 1759153763139x433792388290277000, 1747420152884x437771544876149700, 1747165674437x491901038958021200, 1763148950401x545361905340972600, 1753374338412x209529915103450200, 1747183179554x540122160625888100, 1747163465846x476237095610093000, 1763255155587x707008769292458900, 1748389292320x918627677903932400, 1749580724532x760028975589297300, 1751319669665x621437589169731200, 1753465897836x101289632151690960, 1757437593796x460281345015416640, 1755271286521x378031808974615550, 1757355028996x505189727810192200, 1752687366861x422755081931784260, 1744737250347x219277345743008400, 1752182630575x854371423894944000, 1745597587022x519433479989605000, 1751224250248x539537516841198200, 1762889659042x996969350831174300, 1768844277981x664142917381285000, 1754949567759x639105313824555300, 1747216018889x770977089491677400, 1768581853937x610498789092930300, 1759930025997x126109694575208930, 1754081360962x724252535884739300, 1763569204895x378265538177280400, 1771436045389x658317953644361100, 1747185390251x665604546429507900, 1744397288473x909294892772270800, 1761930377989x951815782791809400, 1761762460002x434978052003146300, 1751744301621x758526182685981300, 1746827109704x963221719337950200, 1750436264420x989591292213482400, 1747864432460x772931238395911000, 1771517879190x523242735258870900, 1764342295066x618134664283571500, 1744579851707x640487742075829500, 1750784029587x963255839088365200, 1744743906400x631087870982087000, 1765399408996x262641226191956400, 1754084205128x675147807630683600, 1764963280733x431041418968701760, 1744335958024x226211831616957250, 1768427614253x929508274229176300, 1750423781412x480534435350699700, 1755621956288x571897163769246900, 1761762406893x958878656538368500, 1768584016102x834619843946063900, 1744319857648x144922844539837200, 1744736810207x919925185055488400, 1744134674881x127285411168640110, 1753982403438x535213824960417500",false,,,,,,,,,,,,,,,impression
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,2026-03-23 17:45:19.243000+00:00,ajs-next-1774287919243-5fa669d7-7167-47eb-9bf5-c1e04700f61e,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,index,index,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,2026-03-23 17:54:07.924000+00:00,ajs-next-1774288447924-561c1666-f3b5-4ff9-9e6f-cae9f0c0d6cf,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,search,search,,,,,,page
