messageId,userId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,location,sponsored_listing,name,category,path,referrer,search,title,url,category_properties,name_properties,city,search_text,parish,button_name,event_type
ajs-next-1779037437639-3ef3f00b-115f-4088-a4a9-878ba6ecb1bb,,2026-05-17 17:03:57.639000+00:00,3c8faee2-7d07-4442-a679-c22ce9bc3786,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/paolucci-financial-services-1771436045389x658317953644361100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/paolucci-financial-services-1771436045389x658317953644361100,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,1771436045389x658317953644361100,,,business_profile,profile,/business_profile/paolucci-financial-services-1771436045389x658317953644361100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/paolucci-financial-services-1771436045389x658317953644361100,profile,business_profile,,,,,page
ajs-next-1779037419578-833c8fae-e27d-4754-82e6-79c22ce9bc37,,2026-05-17 17:03:39.578000+00:00,3c8faee2-7d07-4442-a679-c22ce9bc3786,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,1753982403438x535213824960417500,,,business_profile,profile,/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,profile,business_profile,,,,,page
ajs-next-1779054550473-b6fab07f-9ee4-4528-93a2-7764a0ff8bb2,,2026-05-17 21:49:10.473000+00:00,fab07f9e-e4f5-4853-a277-64a0ff8bb21c,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/about_us/1771370222481x414747809373013700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1771370222481x414747809373013700,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Linux,,,,about_us,about_us,/about_us/1771370222481x414747809373013700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1771370222481x414747809373013700,about_us,about_us,,,,,page
ajs-next-1779062177467-987de277-70be-4c36-9afe-2fcdd9b10fab,,2026-05-17 23:56:17.467000+00:00,f2814c20-987d-4277-b0be-ec365afe2fcd,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,"1771436045389x658317953644361100, 1753374338412x209529915103450200, 1770943484557x164806709481949200, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1751744301621x758526182685981300",,true,,,,,,,,,,,,,,impression
ajs-next-1779062186687-f36ac963-16f5-410d-81a2-59cd20cd20e6,,2026-05-17 23:56:26.687000+00:00,f2814c20-987d-4277-b0be-ec365afe2fcd,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,1744335958024x226211831616957250,main_list,true,,,,,,,,,,,,,,impression
ajs-next-1779062186064-e8ff2b32-f36a-4963-96f5-510dc1a259cd,,2026-05-17 23:56:26.064000+00:00,f2814c20-987d-4277-b0be-ec365afe2fcd,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=,search,search,,,,,page
ajs-next-1779062192981-20cd20e6-e193-46dc-b0cc-69fac976f37e,,2026-05-17 23:56:32.981000+00:00,f2814c20-987d-4277-b0be-ec365afe2fcd,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=Health%20%26%20Wellness,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,,main_list,true,,,,,,,,,,,,,,impression
ajs-next-1779062192359-c1a259cd-20cd-40e6-a193-f6dcb0cc69fa,,2026-05-17 23:56:32.359000+00:00,f2814c20-987d-4277-b0be-ec365afe2fcd,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=Health%20%26%20Wellness,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=Health%20%26%20Wellness,search,search,,,,,page
ajs-next-1779062191997-510dc1a2-59cd-40cd-a0e6-e193f6dcb0cc,,2026-05-17 23:56:31.997000+00:00,f2814c20-987d-4277-b0be-ec365afe2fcd,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,,main_search,,,,,,,,,Health & Wellness,,,Gym,,,search
ajs-next-1779062192665-59cd20cd-20e6-4193-b6dc-b0cc69fac976,,2026-05-17 23:56:32.665000+00:00,f2814c20-987d-4277-b0be-ec365afe2fcd,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=Health%20%26%20Wellness,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,,sidebar,true,,,,,,,,,,,,,,impression
