userId,category,originalTimestamp,anonymousId,messageId,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,search_text,location,button_name,event_type
,start,2026-01-26 04:13:04.528000+00:00,afcf7eab-8ce1-45cd-96b3-b9ed43b47f6d,ajs-next-1769400784528-06be30f3-6dac-4a8d-8ece-d694c8806435,start,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,page
,profile,2026-01-26 09:01:45.848000+00:00,f92b6b3d-bb91-451e-8954-ac34249789f4,ajs-next-1769418105848-9ff92b6b-3dbb-41b5-9e49-54ac34249789,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,profile,business_profile,1752717497153x537286585580736960,,,,,page
,profile,2026-01-26 09:01:49.860000+00:00,f92b6b3d-bb91-451e-8954-ac34249789f4,ajs-next-1769418109860-1d5ae777-668c-4cf8-8153-1313a28b6e64,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,profile,business_profile,1744579851707x640487742075829500,,,,,page
,profile,2026-01-26 09:01:55.836000+00:00,f92b6b3d-bb91-451e-8954-ac34249789f4,ajs-next-1769418115836-f926d693-a8c9-4496-a369-2cb3f8d99736,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/slider-artworks-1744335958024x226211831616957250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/slider-artworks-1744335958024x226211831616957250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,profile,business_profile,1744335958024x226211831616957250,,,,,page
,about_us,2026-01-26 12:35:24.544000+00:00,464f0d66-e297-4cba-9fc5-1a1009491994,ajs-next-1769430924544-6b464f0d-66e2-47fc-ba5f-c51a10094919,about_us,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1769094288087x782580696398770000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1769094288087x782580696398770000,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/1769094288087x782580696398770000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1769094288087x782580696398770000,about_us,about_us,,,,,,page
,how_it_works,2026-01-26 12:41:17.463000+00:00,d5803af6-7cf7-43f4-a8ce-a4afea7276f8,ajs-next-1769431277463-67d5803a-f67c-4773-b4e8-cea4afea7276,how_it_works,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1769207079036x178797439120156540,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1769207079036x178797439120156540,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/1769207079036x178797439120156540,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1769207079036x178797439120156540,how_it_works,how_it_works,,,,,,page
,how_it_works,2026-01-26 14:31:48.185000+00:00,2d73f3a2-7203-4da2-9843-ada727eef3b3,ajs-next-1769437908185-c92d73f3-a272-434d-a258-43ada727eef3,how_it_works,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/aspire-building-services-1768844277981x664142917381285000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/aspire-building-services-1768844277981x664142917381285000,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/aspire-building-services-1768844277981x664142917381285000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/aspire-building-services-1768844277981x664142917381285000,how_it_works,how_it_works,,,,,,page
,how_it_works,2026-01-26 14:51:50.236000+00:00,6b0ba66f-bb72-4ba4-8770-b761a410e264,ajs-next-1769439110236-f36b0ba6-6fbb-421b-a447-70b761a410e2,how_it_works,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1769094288087x782580696398770000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1769094288087x782580696398770000,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/1769094288087x782580696398770000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1769094288087x782580696398770000,how_it_works,how_it_works,,,,,,page
,about_us,2026-01-26 14:47:24.636000+00:00,096f4e30-9822-4976-81d2-425398d502b0,ajs-next-1769438844636-11096f4e-3098-4299-b6c1-d2425398d502,about_us,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1769173964107x447598129104879800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1769173964107x447598129104879800,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/1769173964107x447598129104879800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1769173964107x447598129104879800,about_us,about_us,,,,,,page
,about_us,2026-01-26 15:24:49.191000+00:00,8b804fdc-92a2-4e3e-92f4-ba27e7bf3b00,ajs-next-1769441089191-ea8b804f-dc92-42ee-be12-f4ba27e7bf3b,about_us,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1769197326450x616786966971265800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1769197326450x616786966971265800,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/1769197326450x616786966971265800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1769197326450x616786966971265800,about_us,about_us,,,,,,page
,,2026-01-26 16:11:39.222000+00:00,3576bada-ac0c-4686-9d35-0e6c9d78991c,ajs-next-1769443899222-dd350e6c-9d78-491c-873e-bd2780fe8a79,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",/,https://www.bing.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Microsoft Edge', 'version': '144'}]",False,Windows,,,,,,,,,,,,,search
,,2026-01-26 16:11:38.566000+00:00,3576bada-ac0c-4686-9d35-0e6c9d78991c,ajs-next-1769443898566-badaac0c-3686-4d35-8e6c-9d78991c473e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",/,https://www.bing.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Microsoft Edge', 'version': '144'}]",False,Windows,,,,,,,,"1743547621069x279645472884266780, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1743549178851x847080663521240200, 1753374338412x209529915103450200, 1744579851707x640487742075829500, 1753982403438x535213824960417500",true,,,,impression
