anonymousId,category,originalTimestamp,messageId,name,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,button_name,search_text,location,city,parish,traits,event_type
4d5ede67-15a5-4ef5-b2aa-22cda574ae3e,search,2026-08-14 14:40:53.596000+00:00,ajs-next-1786718453596-78a66924-8246-4620-87d8-7680fa2bf15d,search,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,search,search,,,,,,,,,,,,page
4d5ede67-15a5-4ef5-b2aa-22cda574ae3e,,2026-08-14 14:40:54.518000+00:00,ajs-next-1786718454518-d620c7d8-7680-4a2b-b15d-0b0d1186a0e0,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,,,,"1785246262777x370343103907722500, 1777042863057x294476376362385400, 1750436264420x989591292213482400, 1754505203290x671062062407191900, 1745273541628x945470626229355500, 1753911193017x504194995643152640, 1744398484109x785674167096991400, 1744748222708x779656090283929300, 1744579851707x640487742075829500, 1746855895334x711816173120128000, 1754927931120x470668069008822300, 1776552489781x780158200693874000, 1759423986281x805514757919405700, 1747216018889x770977089491677400, 1755621956288x571897163769246900, 1759930025997x126109694575208930, 1763408145585x201322720695875870, 1750783674403x491887953737125700, 1744751205492x235134337285239230, 1763148950401x545361905340972600, 1747398900475x598159844147748100, 1768581853937x610498789092930300, 1770943484557x164806709481949200, 1744335958024x226211831616957250, 1747864432460x772931238395911000, 1751319669665x621437589169731200, 1775058462201x523059865418210800, 1763255155587x707008769292458900, 1749742920378x965836759111504900, 1747848709032x210920410073364830, 1755533063776x956164571796881400, 1759153763139x433792388290277000",false,,,,,,,impression
4d5ede67-15a5-4ef5-b2aa-22cda574ae3e,profile,2026-08-14 14:43:07.493000+00:00,ajs-next-1786718587493-c8c28f19-8256-498b-8147-4fd19425de8c,business_profile,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/business_profile/mfm-electrical-services--1763148950401x545361905340972600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mfm-electrical-services--1763148950401x545361905340972600,/business_profile/mfm-electrical-services--1763148950401x545361905340972600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mfm-electrical-services--1763148950401x545361905340972600,profile,business_profile,,,,1763148950401x545361905340972600,,,,,,,,page
4d5ede67-15a5-4ef5-b2aa-22cda574ae3e,,2026-08-14 14:45:25.730000+00:00,ajs-next-1786718725730-bab7f90d-7b5c-4e29-8f55-46d9ed779498,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,,,,"1763408145585x201322720695875870, 1759930025997x126109694575208930, 1776552489781x780158200693874000, 1747216018889x770977089491677400, 1744335958024x226211831616957250, 1751319669665x621437589169731200, 1745273541628x945470626229355500, 1768581853937x610498789092930300, 1746855895334x711816173120128000, 1744579851707x640487742075829500, 1744751205492x235134337285239230, 1755533063776x956164571796881400, 1747864432460x772931238395911000, 1744748222708x779656090283929300, 1749742920378x965836759111504900, 1744398484109x785674167096991400, 1770943484557x164806709481949200, 1747398900475x598159844147748100, 1759153763139x433792388290277000, 1750783674403x491887953737125700, 1763148950401x545361905340972600, 1754927931120x470668069008822300, 1754505203290x671062062407191900, 1753911193017x504194995643152640, 1750436264420x989591292213482400, 1763255155587x707008769292458900, 1747848709032x210920410073364830, 1755621956288x571897163769246900, 1759423986281x805514757919405700, 1775058462201x523059865418210800, 1785246262777x370343103907722500, 1777042863057x294476376362385400",false,,,,,,,impression
4d5ede67-15a5-4ef5-b2aa-22cda574ae3e,,2026-08-14 14:41:25.656000+00:00,ajs-next-1786718485656-0d8ba09e-7ac6-4ea9-90eb-f8927ddcae12,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/business_profile/solomons-toolbox-1750436264420x989591292213482400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/solomons-toolbox-1750436264420x989591292213482400,,,,,,,,,,,1750436264420x989591292213482400,,visit_website,,,,,,button_click
4d5ede67-15a5-4ef5-b2aa-22cda574ae3e,,2026-08-14 14:41:31.318000+00:00,ajs-next-1786718491318-a09e7ac6-6ea9-40eb-b892-7ddcae12875e,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/business_profile/solomons-toolbox-1750436264420x989591292213482400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/solomons-toolbox-1750436264420x989591292213482400,,,,,,,,,,,1750436264420x989591292213482400,,visit_website,,,,,,button_click
4d5ede67-15a5-4ef5-b2aa-22cda574ae3e,,2026-08-14 14:41:57.649000+00:00,ajs-next-1786718517649-291af0e2-6c75-4f0f-9fd9-86a21fcac951,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1770943484557x164806709481949200, 1781830336957x808577548450478500, 1744643921578x315333816253624100, 1771436045389x658317953644361100, 1752717497153x537286585580736960, 1744579851707x640487742075829500",true,,,,,,,impression
4d5ede67-15a5-4ef5-b2aa-22cda574ae3e,Home Services,2026-08-14 14:42:00.072000+00:00,ajs-next-1786718520072-6c75ef0f-1fd9-46a2-9fca-c95190b4fb46,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,,,,,,,search
4d5ede67-15a5-4ef5-b2aa-22cda574ae3e,,2026-08-14 14:41:06.516000+00:00,ajs-next-1786718466516-c7d87680-fa2b-415d-8b0d-1186a0e07310,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,,,,1750436264420x989591292213482400,false,more_info_text,,,,,,button_click
4d5ede67-15a5-4ef5-b2aa-22cda574ae3e,search,2026-08-14 14:42:01.008000+00:00,ajs-next-1786718521008-68110396-25b0-49a7-8ee4-f5dfd04b6e86,search,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,search,search,,,,,,,,,,,,page
4d5ede67-15a5-4ef5-b2aa-22cda574ae3e,,2026-08-14 14:43:09.153000+00:00,ajs-next-1786718589153-8f198256-798b-4147-8fd1-9425de8cf161,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/business_profile/mfm-electrical-services--1763148950401x545361905340972600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mfm-electrical-services--1763148950401x545361905340972600,,,,,,,,,,,1763148950401x545361905340972600,,visit_website,,,,,,button_click
4d5ede67-15a5-4ef5-b2aa-22cda574ae3e,,2026-08-14 14:44:29.231000+00:00,ajs-next-1786718669231-29f3d675-daff-432d-8288-466ebab7f90d,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=electrical&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=electrical&category=Home%20Services,,,,,,,,,,,1763148950401x545361905340972600,false,,,,,,,impression
ce2dcdd7-94b8-4986-9274-debfa30a833e,,2026-08-14 14:45:20.434000+00:00,ajs-next-1786718720434-305ed5d1-c3f1-46fd-8900-7bc04dbc106f,,1775058462201x523059865418210800,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Microsoft Edge', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,,true,,,sidebar,,,,impression
